date,home,away,market,outcome,prob,fair_odds,book_odds,price_source,edge,EV
2025-12-13 15:00:00,Atalanta,Bologna,1X2,H,0.27184084412481657,3.678623067918546,2.0,real,-0.06149248920851674,-0.45631831175036686
2025-12-13 15:00:00,Atalanta,Bologna,1X2,D,0.19473212596428338,5.135259500958841,2.0,real,-0.13860120736904993,-0.6105357480714333
2025-12-13 15:00:00,Atalanta,Bologna,1X2,A,0.5334270299109002,1.8746706558290323,2.0,real,0.20009369657756687,0.06685405982180037
2025-12-13 15:00:00,Atalanta,Bologna,OU 1.5,Under,0.14404250271269464,6.9423953428148035,1.9,real,-0.35595749728730536,-0.7263192448458802
2025-12-13 15:00:00,Atalanta,Bologna,OU 1.5,Over,0.8559574972873054,1.168282307438387,1.9,real,0.3559574972873054,0.6263192448458803
2025-12-13 15:00:00,Atalanta,Bologna,OU 2.5,Under,0.34028574956241553,2.9387066642841564,1.9,real,-0.15971425043758447,-0.3534570758314105
2025-12-13 15:00:00,Atalanta,Bologna,OU 2.5,Over,0.6597142504375845,1.5158077900192486,1.9,real,0.15971425043758447,0.2534570758314105
2025-12-13 15:00:00,Atalanta,Bologna,OU 3.5,Under,0.47396579137156725,2.109856909938984,1.9,real,-0.026034208628432753,-0.09946499639402229
2025-12-13 15:00:00,Atalanta,Bologna,OU 3.5,Over,0.5260342086284328,1.9010170509772981,1.9,real,0.026034208628432753,-0.0005350036059778018
2025-12-13 15:00:00,Atalanta,Bologna,TG Interval,0-3,0.47396579137156725,2.109856909938984,3.0,real,0.14063245803823393,0.42189737411470185
2025-12-13 15:00:00,Atalanta,Bologna,TG Interval,1-3,0.4344946936312364,2.3015240799435825,3.0,real,0.10116136029790307,0.30348408089370915
2025-12-13 15:00:00,Atalanta,Bologna,TG Interval,2-4,0.48947481125605075,2.0430060485316512,3.0,real,0.15614147792271743,0.46842443376815224
2025-12-13 15:00:00,Atalanta,Bologna,TG Interval,2-5,0.6178253114776411,1.61858049746832,3.0,real,0.28449197814430777,0.8534759344329232
2025-12-13 15:00:00,Atalanta,Bologna,TG Interval,3-6,0.554996455086395,1.801813310400933,3.0,real,0.22166312175306163,0.664989365259185
2025-12-13 17:00:00,Atalanta,Cagliari,1X2,H,0.3801312822076994,2.6306701047918795,2.0,real,0.04679794887436606,-0.23973743558460126
2025-12-13 17:00:00,Atalanta,Cagliari,1X2,D,0.192773488423858,5.187435306463221,2.0,real,-0.14055984490947532,-0.614453023152284
2025-12-13 17:00:00,Atalanta,Cagliari,1X2,A,0.42709522936844263,2.3413981970220723,2.0,real,0.09376189603510932,-0.14580954126311474
2025-12-13 17:00:00,Atalanta,Cagliari,OU 1.5,Under,0.1164144854933063,8.589996302972956,1.9,real,-0.3835855145066937,-0.7788124775627181
2025-12-13 17:00:00,Atalanta,Cagliari,OU 1.5,Over,0.8835855145066936,1.1317523698408531,1.9,real,0.38358551450669365,0.6788124775627178
2025-12-13 17:00:00,Atalanta,Cagliari,OU 2.5,Under,0.30317005298899347,3.298478824477775,1.9,real,-0.19682994701100653,-0.4239768993209124
2025-12-13 17:00:00,Atalanta,Cagliari,OU 2.5,Over,0.6968299470110065,1.435070355815527,1.9,real,0.19682994701100653,0.32397689932091245
2025-12-13 17:00:00,Atalanta,Cagliari,OU 3.5,Under,0.4167500047047885,2.399520068892059,1.9,real,-0.08324999529521149,-0.20817499106090187
2025-12-13 17:00:00,Atalanta,Cagliari,OU 3.5,Over,0.5832499952952115,1.714530661065588,1.9,real,0.08324999529521149,0.10817499106090178
2025-12-13 17:00:00,Atalanta,Cagliari,TG Interval,0-3,0.4167500047047885,2.399520068892059,3.0,real,0.0834166713714552,0.25025001411436554
2025-12-13 17:00:00,Atalanta,Cagliari,TG Interval,1-3,0.38643304649072097,2.5877704018359933,3.0,real,0.05309971315738765,0.159299139472163
2025-12-13 17:00:00,Atalanta,Cagliari,TG Interval,2-4,0.45929171061811563,2.1772655087856867,3.0,real,0.12595837728478232,0.37787513185434696
2025-12-13 17:00:00,Atalanta,Cagliari,TG Interval,2-5,0.5947634787773607,1.681340626454861,3.0,real,0.2614301454440274,0.784290436332082
2025-12-13 17:00:00,Atalanta,Cagliari,TG Interval,3-6,0.561456078984846,1.7810832181353773,3.0,real,0.22812274565151264,0.6843682369545379
2025-12-13 19:00:00,Atalanta,Como,1X2,H,0.35050345298975527,2.853038940044989,2.0,real,0.017170119656421956,-0.29899309402048946
2025-12-13 19:00:00,Atalanta,Como,1X2,D,0.19166089462514388,5.217548430814904,2.0,real,-0.14167243870818944,-0.6166782107497122
2025-12-13 19:00:00,Atalanta,Como,1X2,A,0.4578356523851009,2.184189882964524,2.0,real,0.12450231905176756,-0.08432869522979825
2025-12-13 19:00:00,Atalanta,Como,OU 1.5,Under,0.11652512706605436,8.58184003037501,1.9,real,-0.38347487293394567,-0.7786022585744967
2025-12-13 19:00:00,Atalanta,Como,OU 1.5,Over,0.8834748729339457,1.1318941043326838,1.9,real,0.38347487293394567,0.6786022585744966
2025-12-13 19:00:00,Atalanta,Como,OU 2.5,Under,0.30325276098549836,3.297579209997103,1.9,real,-0.19674723901450164,-0.4238197541275531
2025-12-13 19:00:00,Atalanta,Como,OU 2.5,Over,0.6967472390145016,1.435240707109837,1.9,real,0.19674723901450164,0.32381975412755315
2025-12-13 19:00:00,Atalanta,Como,OU 3.5,Under,0.41678520741423386,2.3993173994923516,1.9,real,-0.08321479258576614,-0.2081081059129557
