Date,Home,Away,Pick_1X2,Prob_1X2,Odds_1X2,Edge_1X2,EV_1X2,Delta_1X2,Pick_OU,Prob_OU,Odds_OU,Edge_OU,EV_OU,Delta_OU,Pick_TG,Prob_TG,Odds_TG,Edge_TG,EV_TG,Higher
2025-08-30 17:00:00,Man City,Everton,1X2 H,50.2%,2.00,16.9%,0.00,+nan%,OU 2.5 Under,52.6%,1.90,2.6%,-0.00,+nan%,TG 0-3,71.8%,3.00,38.4%,1.15,OU (52.6%)
2025-08-31 19:30:00,Man United,Arsenal,1X2 A,40.3%,2.00,7.0%,-0.19,+nan%,OU 2.5 Over,62.8%,1.90,12.8%,0.19,+nan%,TG 2-5,63.2%,3.00,29.8%,0.89,OU (62.8%)
