date,home,away,market,outcome,prob,fair_odds,book_odds,price_source,edge,EV
2025-12-13 15:00:00,Alaves,Almeria,1X2,H,0.34174467703942013,2.926161158275043,2.0,real,0.008411343706086816,-0.31651064592115974
2025-12-13 15:00:00,Alaves,Almeria,1X2,D,0.204434036002921,4.89155338099235,2.0,real,-0.1288992973304123,-0.591131927994158
2025-12-13 15:00:00,Alaves,Almeria,1X2,A,0.4538212869576587,2.2035105640456645,2.0,real,0.1204879536243254,-0.09235742608468256
2025-12-13 15:00:00,Alaves,Almeria,OU 1.5,Under,0.1513751309694855,6.606104936758615,1.9,real,-0.3486248690305145,-0.7123872511579776
2025-12-13 15:00:00,Alaves,Almeria,OU 1.5,Over,0.8486248690305147,1.1783769678378848,1.9,real,0.3486248690305147,0.6123872511579778
2025-12-13 15:00:00,Alaves,Almeria,OU 2.5,Under,0.3502933140001241,2.8547504620646165,1.9,real,-0.1497066859998759,-0.33444270339976423
2025-12-13 15:00:00,Alaves,Almeria,OU 2.5,Over,0.6497066859998759,1.5391560861976277,1.9,real,0.1497066859998759,0.23444270339976425
2025-12-13 15:00:00,Alaves,Almeria,OU 3.5,Under,0.48930237889914685,2.043726013042982,1.9,real,-0.01069762110085315,-0.07032548009162098
2025-12-13 15:00:00,Alaves,Almeria,OU 3.5,Over,0.5106976211008534,1.9581058510599922,1.9,real,0.010697621100853372,-0.02967451990837866
2025-12-13 15:00:00,Alaves,Almeria,TG Interval,0-3,0.48930237889914685,2.043726013042982,3.0,real,0.15596904556581354,0.46790713669744055
2025-12-13 15:00:00,Alaves,Almeria,TG Interval,1-3,0.44747751871652747,2.234749139729386,3.0,real,0.11414418538319415,0.34243255614958246
2025-12-13 15:00:00,Alaves,Almeria,TG Interval,2-4,0.49704230880198363,2.011901164732416,3.0,real,0.16370897546865032,0.491126926405951
2025-12-13 15:00:00,Alaves,Almeria,TG Interval,2-5,0.6223414194426511,1.6068350406366456,3.0,real,0.2890080861093178,0.8670242583279533
2025-12-13 15:00:00,Alaves,Almeria,TG Interval,3-6,0.5499746699182171,1.8182655578459697,3.0,real,0.21664133658488377,0.6499240097546513
2025-12-13 17:00:00,Alaves,Ath Bilbao,1X2,H,0.3865683876336309,2.586864399651187,2.0,real,0.05323505430029757,-0.22686322473273823
2025-12-13 17:00:00,Alaves,Ath Bilbao,1X2,D,0.2683072737849748,3.727070033894847,2.0,real,-0.0650260595483585,-0.46338545243005036
2025-12-13 17:00:00,Alaves,Ath Bilbao,1X2,A,0.34512433858139424,2.897506458427184,2.0,real,0.011791005248060926,-0.3097513228372115
2025-12-13 17:00:00,Alaves,Ath Bilbao,OU 1.5,Under,0.325752921931022,3.0698112976919036,1.9,real,-0.174247078068978,-0.38106944833105816
2025-12-13 17:00:00,Alaves,Ath Bilbao,OU 1.5,Over,0.674247078068978,1.4831358303605378,1.9,real,0.174247078068978,0.28106944833105807
2025-12-13 17:00:00,Alaves,Ath Bilbao,OU 2.5,Under,0.5453460284684051,1.8336981435593889,1.9,real,0.045346028468405075,0.03615745408996962
2025-12-13 17:00:00,Alaves,Ath Bilbao,OU 2.5,Over,0.4546539715315949,2.1994749031473217,1.9,real,-0.045346028468405075,-0.1361574540899697
2025-12-13 17:00:00,Alaves,Ath Bilbao,OU 3.5,Under,0.7412189310950279,1.3491290603204995,1.9,real,0.2412189310950279,0.4083159690805529
2025-12-13 17:00:00,Alaves,Ath Bilbao,OU 3.5,Over,0.25878106890497216,3.8642703047463387,1.9,real,-0.24121893109502784,-0.508315969080553
2025-12-13 17:00:00,Alaves,Ath Bilbao,TG Interval,0-3,0.7412189310950279,1.3491290603204995,3.0,real,0.4078855977616946,1.223656793285084
2025-12-13 17:00:00,Alaves,Ath Bilbao,TG Interval,1-3,0.6295580519944407,1.58841586861132,3.0,real,0.2962247186611074,0.8886741559833222
2025-12-13 17:00:00,Alaves,Ath Bilbao,TG Interval,2-4,0.5371393491881836,1.8617142860812006,3.0,real,0.2038060158548503,0.611418047564551
2025-12-13 17:00:00,Alaves,Ath Bilbao,TG Interval,2-5,0.6071629415390334,1.6470043403261823,3.0,real,0.27382960820570007,0.8214888246171002
2025-12-13 17:00:00,Alaves,Ath Bilbao,TG Interval,3-6,0.4126190654509805,2.423542884299419,3.0,real,0.07928573211764717,0.23785719635294145
2025-12-13 19:00:00,Alaves,Ath Madrid,1X2,H,0.3987354357407789,2.507928592155797,2.0,real,0.0654021024074456,-0.20252912851844218
2025-12-13 19:00:00,Alaves,Ath Madrid,1X2,D,0.2729525795978749,3.6636400413333394,2.0,real,-0.060380753735458426,-0.4540948408042502
2025-12-13 19:00:00,Alaves,Ath Madrid,1X2,A,0.3283119846613463,3.0458833265910155,2.0,real,-0.005021348671987003,-0.3433760306773074
2025-12-13 19:00:00,Alaves,Ath Madrid,OU 1.5,Under,0.34021286418298535,2.9393362370393628,1.9,real,-0.15978713581701465,-0.3535955580523279
2025-12-13 19:00:00,Alaves,Ath Madrid,OU 1.5,Over,0.6597871358170145,1.5156403417318827,1.9,real,0.15978713581701454,0.2535955580523275
2025-12-13 19:00:00,Alaves,Ath Madrid,OU 2.5,Under,0.558970172208018,1.7890042254846021,1.9,real,0.058970172208018035,0.06204332719523431
2025-12-13 19:00:00,Alaves,Ath Madrid,OU 2.5,Over,0.44102982779198197,2.2674203352786932,1.9,real,-0.058970172208018035,-0.1620433271952343
2025-12-13 19:00:00,Alaves,Ath Madrid,OU 3.5,Under,0.7559292167614611,1.3228751817322033,1.9,real,0.2559292167614611,0.436265511846776
