date,home,away,market,outcome,prob,odds,edge,EV
2025-12-06 15:15:00,Deportivo Alavés,Real Sociedad de Fútbol,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-06 17:30:00,Real Betis Balompié,FC Barcelona,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-07 13:00:00,Elche CF,Girona FC,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-07 15:15:00,Valencia CF,Sevilla FC,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-07 17:30:00,RCD Espanyol de Barcelona,Rayo Vallecano de Madrid,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-07 20:00:00,Real Madrid CF,RC Celta de Vigo,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-08 20:00:00,CA Osasuna,Levante UD,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-12 20:00:00,Real Sociedad de Fútbol,Girona FC,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-13 13:00:00,Club Atlético de Madrid,Valencia CF,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-13 15:15:00,RCD Mallorca,Elche CF,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-13 17:30:00,FC Barcelona,CA Osasuna,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-13 20:00:00,Getafe CF,RCD Espanyol de Barcelona,TG Interval,2-4,0.5284935605496269,3.0,0.1951602272162936,0.5854806816488809
2025-12-06 20:00:00,Ath Bilbao,Club Atlético de Madrid,TG Interval,2-5,0.5029175055811961,3.0,0.16958417224786276,0.5087525167435882
2025-12-06 13:00:00,Villarreal CF,Getafe CF,OU 3.5,Under,0.7494241596289419,1.9,0.24942415962894193,0.42390590329498967
2025-12-06 15:15:00,Deportivo Alavés,Real Sociedad de Fútbol,OU 3.5,Under,0.7494241596289419,1.9,0.24942415962894193,0.42390590329498967
