date,home,away,market,outcome,prob,odds,edge,EV
2025-09-23 17:00:00,Ath Bilbao,Girona FC,TG Interval,0-3,0.796393692428004,3.0,0.46306035909467064,1.3891810772840119
2025-10-04 16:30:00,Ath Bilbao,RCD Mallorca,TG Interval,0-3,0.796393692428004,3.0,0.46306035909467064,1.3891810772840119
2025-09-23 17:00:00,Ath Bilbao,Girona FC,TG Interval,1-3,0.6567654611151114,3.0,0.32343212778177804,0.970296383345334
2025-10-04 16:30:00,Ath Bilbao,RCD Mallorca,TG Interval,1-3,0.6567654611151114,3.0,0.32343212778177804,0.970296383345334
2025-09-19 19:00:00,Real Betis Balompié,Real Sociedad de Fútbol,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-20 12:00:00,Girona FC,Levante UD,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-20 14:15:00,Real Madrid CF,RCD Espanyol de Barcelona,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-20 16:30:00,Deportivo Alavés,Sevilla FC,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-20 16:30:00,Villarreal CF,CA Osasuna,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-21 12:00:00,Rayo Vallecano de Madrid,RC Celta de Vigo,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-21 14:15:00,RCD Mallorca,Club Atlético de Madrid,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-21 16:30:00,Elche CF,Real Oviedo,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-21 19:00:00,FC Barcelona,Getafe CF,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-23 17:00:00,RCD Espanyol de Barcelona,Valencia CF,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-23 19:30:00,Levante UD,Real Madrid CF,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-23 19:30:00,Sevilla FC,Villarreal CF,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-24 17:00:00,Getafe CF,Deportivo Alavés,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-24 19:30:00,Club Atlético de Madrid,Rayo Vallecano de Madrid,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-24 19:30:00,Real Sociedad de Fútbol,RCD Mallorca,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-25 17:30:00,CA Osasuna,Elche CF,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-25 19:30:00,Real Oviedo,FC Barcelona,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-26 19:00:00,Girona FC,RCD Espanyol de Barcelona,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
2025-09-27 12:00:00,Getafe CF,Levante UD,TG Interval,2-5,0.6244673661364185,3.0,0.2911340328030852,0.8734020984092554
