date,home,away,market,outcome,prob,odds,ev,stake,profit_loss,result
2025-02-22,Ipswich,Tottenham,OU 2.5,Under,0.6569422215130601,2.5,0.6423555537826504,1.0,-1.0,lose
2025-02-22,Southampton,Brighton,1X2,A,0.5967704679537247,2.0,0.19354093590744936,1.0,1.0,win
2025-02-25,Chelsea,Southampton,1X2,H,0.555906608238638,2.0,0.11181321647727605,1.0,1.0,win
2025-02-26,Man United,Ipswich,1X2,H,0.5652916765439098,2.0,0.13058335308781954,1.0,1.0,win
2025-02-27,West Ham,Leicester,OU 2.5,Under,0.6786649868603651,2.1,0.42519647240676695,1.0,1.1,win
2025-03-08,Liverpool,Southampton,1X2,H,0.5606569000291408,2.0,0.12131380005828163,1.0,1.0,win
2025-03-09,Chelsea,Leicester,1X2,H,0.5830085274963372,2.0,0.1660170549926745,1.0,1.0,win
2025-03-09,Man United,Arsenal,OU 2.5,Over,0.6664532119821129,2.15,0.4328744057615428,1.0,-1.0,lose
2025-03-15,Southampton,Wolves,OU 2.5,Under,0.7296040864376229,2.06,0.5029844180615031,1.0,-1.0,lose
2025-03-15,Ipswich,Nott'm Forest,OU 2.5,Under,0.6428909103147833,2.03,0.30506854793901006,1.0,-1.0,lose
2025-03-16,Leicester,Man United,OU 2.5,Under,0.6293547653963035,2.0,0.25870953079260706,1.0,-1.0,lose
2025-04-02,Southampton,Crystal Palace,1X2,A,0.5869060307863789,2.0,0.17381206157275786,1.0,-1.0,lose
2025-04-02,Liverpool,Everton,1X2,H,0.5589008340975388,2.0,0.11780166819507754,1.0,1.0,win
2025-04-05,Ipswich,Wolves,OU 2.5,Under,0.6489668269023754,1.73,0.12271261054110938,1.0,-1.0,lose
2025-04-06,Man United,Man City,OU 2.5,Over,0.6807955133558887,1.67,0.13692850730433404,1.0,-1.0,lose
2025-04-07,Leicester,Newcastle,OU 2.5,Under,0.6240145666786645,2.3,0.43523350336092825,1.0,-1.0,lose
2025-04-12,Southampton,Aston Villa,OU 2.5,Under,0.7034860162986901,2.3,0.6180178374869871,1.0,-1.0,lose
2025-04-12,Brighton,Leicester,1X2,H,0.566978137322414,2.0,0.13395627464482796,1.0,-1.0,lose
2025-04-12,Nott'm Forest,Everton,OU 2.5,Under,0.64311464494371,1.67,0.07400145705599548,1.0,0.6699999999999999,win
2025-04-16,Newcastle,Crystal Palace,OU 2.5,Over,0.6404413753594868,1.73,0.10796357937191203,1.0,0.73,win
2025-04-19,West Ham,Southampton,OU 2.5,Under,0.646974845451865,2.1,0.35864717544891667,1.0,1.1,win
2025-04-20,Leicester,Liverpool,1X2,A,0.5656364216833447,2.0,0.13127284336668943,1.0,1.0,win
2025-04-20,Man United,Wolves,1X2,H,0.5555134873189258,2.0,0.1110269746378516,1.0,-1.0,lose
2025-04-26,Wolves,Leicester,OU 2.5,Under,0.6510737210180846,2.1,0.36725481413797767,1.0,-1.0,lose
2025-04-26,Southampton,Fulham,1X2,A,0.5621960458371793,2.0,0.1243920916743586,1.0,1.0,win
2025-04-26,Southampton,Fulham,OU 2.5,Under,0.6383228660736727,2.1,0.34047801875471273,1.0,-1.0,lose
2025-04-26,Chelsea,Everton,1X2,H,0.5541486734145715,2.0,0.10829734682914305,1.0,1.0,win
2025-05-03,Leicester,Southampton,OU 2.5,Under,0.7120017860118728,2.05,0.45960366132433905,1.0,1.0499999999999998,win
2025-05-04,Chelsea,Liverpool,OU 2.5,Over,0.6632877224094257,1.53,0.014830215286421256,1.0,0.53,win
2025-05-10,Southampton,Man City,1X2,A,0.6079090939725396,2.0,0.21581818794507912,1.0,-1.0,lose
2025-05-10,Fulham,Everton,OU 2.5,Under,0.6257310001208172,1.8,0.1263158002174709,1.0,-1.0,lose
2025-05-11,Man United,West Ham,OU 2.5,Over,0.6272525681760895,1.73,0.08514694294463498,1.0,-1.0,lose
2025-05-11,Nott'm Forest,Leicester,OU 2.5,Under,0.6768677037566622,2.2,0.4891089482646569,1.0,-1.0,lose
2025-05-11,Liverpool,Arsenal,OU 2.5,Over,0.6395099426079139,1.73,0.10635220071169105,1.0,0.73,win
2025-05-18,Leicester,Ipswich,OU 2.5,Under,0.6773735929572744,2.1,0.42248454521027634,1.0,1.1,win
2025-05-18,Everton,Southampton,OU 2.5,Under,0.6443798132742353,2.0,0.28875962654847065,1.0,1.0,win
2025-05-25,Newcastle,Everton,1X2,H,0.5611152299130657,2.0,0.12223045982613145,1.0,-1.0,lose
2025-05-25,Southampton,Arsenal,1X2,A,0.588099590514445,2.0,0.1761991810288901,1.0,1.0,win
