date,home,away,market,outcome,prob,fair_odds,book_odds,price_source,edge,EV
2025-12-17 17:00:00,Auxerre,Brest,OU 1.5,Over,0.951304360673001,1.0511882856213854,1.9,real,0.45130436067300095,0.8074782852787017
2025-12-17 19:00:00,Auxerre,Clermont,OU 1.5,Over,0.947768654992184,1.0551098042045364,1.9,real,0.447768654992184,0.8007604444851495
2025-12-18 17:00:00,Auxerre,Lorient,OU 1.5,Over,0.9469993381450419,1.0559669470928823,1.9,real,0.4469993381450419,0.7992987424755795
2025-12-13 17:00:00,Angers,Brest,OU 1.5,Over,0.9459706397127884,1.0571152613189092,1.9,real,0.4459706397127884,0.7973442154542978
2025-12-15 23:00:00,Angers,Paris FC,OU 1.5,Over,0.9457732082284259,1.0573359356130936,1.9,real,0.4457732082284259,0.7969690956340092
2025-12-16 17:00:00,Angers,Reims,OU 1.5,Over,0.9443442369790431,1.0589358846504953,1.9,real,0.44434423697904313,0.7942540502601818
2025-12-18 15:00:00,Auxerre,Lille,OU 1.5,Over,0.9414019458465714,1.0622455205366432,1.9,real,0.44140194584657144,0.7886636971084857
2025-12-14 19:00:00,Angers,Lyon,OU 1.5,Over,0.9406023186029225,1.0631485594095715,1.9,real,0.44060231860292254,0.7871444053455527
2025-12-15 19:00:00,Angers,Nantes,OU 1.5,Over,0.9403973059312357,1.0633803326454048,1.9,real,0.4403973059312357,0.7867548812693477
2025-12-17 21:00:00,Auxerre,Le Havre,OU 1.5,Over,0.9396077808377337,1.064273860214761,1.9,real,0.43960778083773366,0.7852547835916939
2025-12-17 23:00:00,Auxerre,Lens,OU 1.5,Over,0.9390575381673536,1.064897473643181,1.9,real,0.4390575381673536,0.7842093225179718
2025-12-17 15:00:00,Angers,Toulouse,OU 1.5,Over,0.9390388601885463,1.0649186550162721,1.9,real,0.4390388601885463,0.7841738343582378
2025-12-13 15:00:00,Angers,Auxerre,OU 1.5,Over,0.9389798818061129,1.0649855437546925,1.9,real,0.4389798818061129,0.7840617754316144
2025-12-16 19:00:00,Angers,Rennes,OU 1.5,Over,0.9378504732241969,1.066268055036686,1.9,real,0.4378504732241969,0.781915899125974
2025-12-14 15:00:00,Angers,Lille,OU 1.5,Over,0.9376484718170618,1.0664977654814578,1.9,real,0.4376484718170618,0.7815320964524173
2025-12-18 19:00:00,Auxerre,Lyon,OU 1.5,Over,0.9367617802556267,1.0675072585979293,1.9,real,0.43676178025562673,0.7798473824856906
2025-12-15 21:00:00,Angers,Nice,OU 1.5,Over,0.9360843555040198,1.0682797913672704,1.9,real,0.4360843555040198,0.7785602754576375
2025-12-13 23:00:00,Angers,Lens,OU 1.5,Over,0.9347015050574037,1.06986026511061,1.9,real,0.4347015050574037,0.7759328596090669
2025-12-14 21:00:00,Angers,Marseille,OU 1.5,Over,0.9343335809697076,1.0702815572165776,1.9,real,0.43433358096970764,0.7752338038424444
2025-12-16 15:00:00,Angers,Paris SG,OU 1.5,Over,0.932848919408681,1.0719849476096142,1.9,real,0.432848919408681,0.7724129468764938
