league,matches,current_ou_thr,current_ou_acc,current_ou_bacc,current_ou_yes_rate,best_ou_thr_bacc,best_ou_acc,best_ou_bacc,best_ou_yes_rate,ou_bacc_gain,current_btts_thr,current_btts_acc,current_btts_bacc,current_btts_yes_rate,best_btts_thr_bacc,best_btts_acc,best_btts_bacc,best_btts_yes_rate,btts_bacc_gain
Bundesliga,133,0.3,0.7593984962406015,0.7033983008495752,0.7443609022556391,0.42,0.7443609022556391,0.7533733133433284,0.5488721804511278,0.049975012493753135,0.28,0.8120300751879699,0.8001700680272108,0.6240601503759399,0.28,0.8120300751879699,0.8001700680272108,0.6240601503759399,0.0
Premier League,181,0.5,0.5193370165745856,0.5333946078431372,0.27071823204419887,0.39,0.574585635359116,0.5713235294117647,0.5580110497237569,0.03792892156862748,0.31,0.5911602209944752,0.5599400599400599,0.7182320441988951,0.31,0.5911602209944752,0.5599400599400599,0.7182320441988951,0.0
Serie A,170,0.54,0.5529411764705883,0.5457692840326824,0.19411764705882353,0.5,0.5411764705882353,0.535659880902922,0.2647058823529412,-0.010109403129760386,0.5,0.5294117647058824,0.49384098544232924,0.16470588235294117,0.32,0.5176470588235295,0.5373740201567749,0.6823529411764706,0.043533034714445695
