league,matches,current_ou_thr,current_ou_acc,current_ou_bacc,current_ou_yes_rate,best_ou_thr_bacc,best_ou_acc,best_ou_bacc,best_ou_yes_rate,ou_bacc_gain,current_btts_thr,current_btts_acc,current_btts_bacc,current_btts_yes_rate,best_btts_thr_bacc,best_btts_acc,best_btts_bacc,best_btts_yes_rate,btts_bacc_gain
Ligue 1,117,0.52,0.5299145299145299,0.527469316189363,0.21367521367521367,0.52,0.5299145299145299,0.527469316189363,0.21367521367521367,0.0,0.51,0.5555555555555556,0.5251322751322751,0.10256410256410256,0.51,0.5555555555555556,0.5251322751322751,0.10256410256410256,0.0
La Liga,148,0.46,0.5608108108108109,0.5716117216117216,0.30405405405405406,0.46,0.5608108108108109,0.5716117216117216,0.30405405405405406,0.0,0.5,0.4797297297297297,0.5062373876352962,0.10810810810810811,0.13,0.5608108108108109,0.5299027701339204,0.9594594594594594,0.023665382498624155
Liga I,111,0.41,0.5135135135135135,0.5082846003898636,0.3063063063063063,0.16,0.5045045045045045,0.5155945419103314,0.9099099099099099,0.007309941520467822,0.42,0.5585585585585585,0.532843137254902,0.18018018018018017,0.42,0.5585585585585585,0.532843137254902,0.18018018018018017,0.0
