league,matches,ou_threshold_before,ou_accuracy_before,ou_threshold_after,ou_accuracy_after,ou_accuracy_delta,btts_threshold_before,btts_accuracy_before,btts_threshold_after,btts_accuracy_after,btts_accuracy_delta
Championship,250,0.5,0.492,0.32,0.548,0.05600000000000005,0.5,0.468,0.3,0.58,0.11199999999999993
Eredivisie,125,0.5,0.488,0.23,0.608,0.12,0.5,0.312,0.25,0.536,0.22400000000000003
