case,side_rmse,d_rmse,nll,d_nll,brier,d_brier,logloss,d_logloss
shrink_p2,0.992870868160371,0.015775627420856253,0.7935959921456615,0.01989894464189823,0.16425160733124153,0.005047836302101316,0.5021776709266778,0.01245029973775258
shrink_p20,1.0660847881963265,0.08898954745681176,0.8539868156940698,0.08028976819030653,0.17769124927632735,0.018487478247187134,0.5349546464730219,0.04522727528409676
shrink_p4,1.0042526144156496,0.02715737367613491,0.804842707675618,0.031145660171854828,0.16700486297923844,0.007801091950098232,0.5087765318541743,0.019049160665249087
shrink_p8,1.0246378685450614,0.047542627805546744,0.8221199716245166,0.04842292412075333,0.17098543861419643,0.011781667585056221,0.5183798162882568,0.028652445099331625
