league,matches,ou_threshold_before,ou_accuracy_before,ou_threshold_after,ou_accuracy_after,ou_accuracy_delta,btts_threshold_before,btts_accuracy_before,btts_threshold_after,btts_accuracy_after,btts_accuracy_delta
Ligue 1,117,0.5,0.49572649572649574,0.52,0.5299145299145299,0.03418803418803418,0.5,0.5384615384615384,0.51,0.5555555555555556,0.017094017094017144
La Liga,148,0.5,0.5405405405405406,0.46,0.5608108108108109,0.020270270270270285,0.5,0.4797297297297297,0.5,0.4797297297297297,0.0
Liga I,111,0.5,0.4954954954954955,0.41,0.5135135135135135,0.018018018018018,0.5,0.5405405405405406,0.42,0.5585585585585585,0.018018018018017945
