league,matches,current_ou_thr,current_ou_acc,current_pred_over_rate,best_ou_thr,best_ou_acc,ou_acc_gain,current_btts_thr,current_btts_acc,current_pred_btts_yes_rate,best_btts_thr,best_btts_acc,btts_acc_gain
Premier League,181,0.5,0.5193370165745856,0.27071823204419887,0.28,0.574585635359116,0.05524861878453036,0.5,0.4198895027624309,0.1712707182320442,0.31,0.5911602209944752,0.17127071823204426
Bundesliga,133,0.3,0.7593984962406015,0.7443609022556391,0.3,0.7593984962406015,0.0,0.28,0.8120300751879699,0.6240601503759399,0.28,0.8120300751879699,0.0
Serie A,170,0.5,0.5411764705882353,0.2647058823529412,0.54,0.5529411764705883,0.01176470588235301,0.5,0.5294117647058824,0.16470588235294117,0.68,0.5588235294117647,0.02941176470588236
