date,home,away,ft_home,ft_away,p_home,p_draw,p_away,p_over25,p_under25,p_btts_yes,p_btts_no,odds_home,odds_draw,odds_away,odds_over,odds_under,actual_home_win,actual_draw,actual_away_win,actual_over25,actual_btts,EV_home,EV_draw,EV_away,EV_over25,EV_under25,actual_under25,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,actual_btts_no
2025-01-01,Brentford,Arsenal,1,3,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,6.0,4.5,1.56,1.68,2.28,False,False,True,True,True,2.076945396871963,0.19568739902289622,-0.6545107681813145,-0.08363636363636373,0.036363636363636376,False,1.85,1.95,0.08496240601503757,-0.1936090225563909,False
2025-01-04,Tottenham,Newcastle,1,2,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,3.9,4.69,1.79,1.35,3.29,False,False,True,True,True,1.000014507966776,0.24617197809275204,-0.6035732532336877,-0.26363636363636367,0.4954545454545456,False,1.85,1.95,0.08496240601503757,-0.1936090225563909,False
2025-01-04,C Palace,Chelsea,1,1,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,3.64,3.94,2.0,1.51,2.66,False,True,False,False,True,0.8666802074356577,0.04689074492226908,-0.5570650874119416,-0.1763636363636364,0.20909090909090922,True,1.85,1.95,0.08496240601503757,-0.1936090225563909,False
2025-01-04,Man City,West Ham,4,1,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,1.26,7.24,10.79,1.32,3.48,True,False,False,True,True,-0.35384146665688776,0.9237281708723932,1.3896338534125747,-0.28,0.581818181818182,False,1.85,1.95,0.08496240601503757,-0.1936090225563909,False
2025-01-04,Aston Villa,Leicester,2,1,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,1.34,5.69,8.32,1.43,2.96,True,False,False,True,True,-0.31281552803192825,0.5118802889867289,0.8426092363663229,-0.22000000000000008,0.34545454545454546,False,1.85,1.95,0.08496240601503757,-0.1936090225563909,False
2025-01-04,Bournemouth,Everton,1,0,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,1.7,3.97,5.23,1.85,2.07,True,False,False,False,False,-0.1281988042196105,0.05486199424908844,0.15827479641777287,0.009090909090909038,-0.05909090909090908,True,1.85,1.95,0.08496240601503757,-0.1936090225563909,True
2025-01-04,Southampton,Brentford,0,5,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,3.44,3.65,2.16,1.73,2.2,False,False,True,True,False,0.7641153608732589,-0.030164665236984134,-0.5216302944048969,-0.056363636363636394,2.220446049250313e-16,False,1.85,1.95,0.08496240601503757,-0.1936090225563909,True
2025-01-04,Brighton,Arsenal,1,1,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,4.93,3.68,1.8,2.02,1.88,False,True,False,False,True,1.5282234677631297,-0.02219341591016477,-0.6013585786707474,0.10181818181818181,-0.1454545454545454,True,1.85,1.95,0.08496240601503757,-0.1936090225563909,False
2025-01-05,Fulham,Ipswich,2,2,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,1.59,4.2,6.15,1.82,2.08,False,True,False,True,True,-0.18460946982892978,0.11597490575470326,0.36202485620827973,-0.0072727272727273196,-0.05454545454545445,False,1.85,1.95,0.08496240601503757,-0.1936090225563909,False
2025-01-05,Liverpool,Man Utd,2,2,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,1.36,5.55,8.55,1.53,2.62,False,True,False,True,True,-0.3025590433756883,0.47468112546157193,0.8935467513139499,-0.16545454545454552,0.19090909090909114,False,1.85,1.95,0.08496240601503757,-0.1936090225563909,False
2025-01-06,Wolves,Nottingham,0,3,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,4.01,3.54,2.01,1.87,2.04,False,False,True,True,False,1.0564251735760952,-0.05939257943532161,-0.5548504128490014,0.020000000000000018,-0.07272727272727264,False,1.85,1.95,0.08496240601503757,-0.1936090225563909,True
2025-01-14,West Ham,Fulham,3,2,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,3.22,3.3,2.42,1.96,1.94,True,False,False,True,True,0.6512940296546204,-0.12316257404987607,-0.4640487557684494,0.06909090909090909,-0.11818181818181817,False,1.85,1.95,0.08496240601503757,-0.1936090225563909,False
2025-01-14,Chelsea,Bournemouth,2,2,0.5128242328119939,0.26570831089397695,0.2214674562940292,0.5454545454545454,0.4545454545454546,0.5864661654135338,0.4135338345864662,1.54,4.8,5.71,1.44,2.89,False,True,False,True,True,-0.2102506814695294,0.2753998922910894,0.26457917543890663,-0.2145454545454546,0.3136363636363637,False,1.85,1.95,0.08496240601503757,-0.1936090225563909,False
