league,matches,current_ou_thr,current_ou_acc,current_ou_bacc,current_ou_yes_rate,best_ou_thr_bacc,best_ou_acc,best_ou_bacc,best_ou_yes_rate,ou_bacc_gain,current_btts_thr,current_btts_acc,current_btts_bacc,current_btts_yes_rate,best_btts_thr_bacc,best_btts_acc,best_btts_bacc,best_btts_yes_rate,btts_bacc_gain
2. Bundesliga,115,0.5,0.4260869565217391,0.48185231539424284,0.19130434782608696,0.19,0.591304347826087,0.5229974968710889,0.8782608695652174,0.04114518147684604,0.5,0.41739130434782606,0.5015873015873016,0.11304347826086956,0.22,0.6086956521739131,0.5357142857142857,0.8434782608695652,0.03412698412698412
Süper Lig,116,0.5,0.4396551724137931,0.4543010752688172,0.28448275862068967,0.23,0.5689655172413793,0.5477897252090801,0.8103448275862069,0.0934886499402629,0.5,0.4482758620689655,0.514093137254902,0.1206896551724138,0.22,0.5862068965517241,0.5214460784313726,0.8793103448275862,0.007352941176470562
