league,matches,current_ou_thr,current_ou_acc,current_ou_bacc,current_ou_yes_rate,best_ou_thr_bacc,best_ou_acc,best_ou_bacc,best_ou_yes_rate,ou_bacc_gain,current_btts_thr,current_btts_acc,current_btts_bacc,current_btts_yes_rate,best_btts_thr_bacc,best_btts_acc,best_btts_bacc,best_btts_yes_rate,btts_bacc_gain
Championship,250,0.5,0.492,0.5112460638776428,0.2,0.32,0.548,0.5397146712936187,0.632,0.0284686074159759,0.5,0.468,0.5183881064162754,0.132,0.42,0.532,0.5658581116327595,0.26,0.047470005216484035
Eredivisie,125,0.5,0.488,0.5370129870129869,0.096,0.23,0.608,0.6051948051948052,0.536,0.06818181818181823,0.5,0.312,0.47560975609756095,0.016,0.11,0.696,0.5553135888501742,0.928,0.07970383275261328
