scope,metric,baseline,candidate,delta_candidate_minus_baseline,n_matches
OVERALL,side_rmse,0.9936899948752674,1.024977115353481,0.03128712047821358,
OVERALL,total_rmse,1.4143969574818231,1.4534177736315559,0.03902081614973274,
OVERALL,side_poisson_nll,0.7900743312307149,0.822322965440104,0.03224863420938906,
OVERALL,side_brier_goal,0.1641420526231809,0.17100450633873357,0.006862453715552663,
OVERALL,side_logloss_goal,0.5015292445172153,0.51848853293272,0.01695928841550476,
2. Bundesliga,side_rmse,0.9884001017893452,1.0297159242875968,0.04131582249825161,216.0
2. Bundesliga,total_rmse,1.4260707625811393,1.4913204528147528,0.06524969023361349,216.0
2. Bundesliga,side_poisson_nll,0.7830668943827546,0.8178207792740887,0.03475388489133413,216.0
2. Bundesliga,side_brier_goal,0.15834256705711405,0.1654987210655699,0.007156154008455845,216.0
2. Bundesliga,side_logloss_goal,0.4892744792216333,0.5083843084178559,0.01910982919622256,216.0
Bundesliga,side_rmse,1.097769735270913,1.1807720554255237,0.08300232015461062,215.0
Bundesliga,total_rmse,1.5691642292229553,1.638459404696637,0.06929517547368169,215.0
Bundesliga,side_poisson_nll,0.6315678079950989,0.7029244875304894,0.07135667953539049,215.0
Bundesliga,side_brier_goal,0.14556404015359492,0.1577360657060725,0.012172025552477567,215.0
Bundesliga,side_logloss_goal,0.46139476000233626,0.4878692846657002,0.02647452466336392,215.0
Championship,side_rmse,0.9453656308616496,0.9609879838403778,0.01562235297872816,417.0
Championship,total_rmse,1.3290812210233092,1.3668058647149621,0.03772464369165296,417.0
Championship,side_poisson_nll,0.8207874618639901,0.8422343822888748,0.02144692042488472,417.0
Championship,side_brier_goal,0.15936063880114792,0.16389041863417064,0.004529779833022718,417.0
Championship,side_logloss_goal,0.4932375218743381,0.5026904086949852,0.009452886820647044,417.0
Eredivisie,side_rmse,1.0789478720532704,1.127208453617491,0.04826058156422053,225.0
Eredivisie,total_rmse,1.5837558709999617,1.5742418818882298,-0.009513989111731957,225.0
Eredivisie,side_poisson_nll,0.6982372411035249,0.7561660162817324,0.05792877517820749,225.0
Eredivisie,side_brier_goal,0.13214693820822385,0.14225569470238225,0.010108756494158405,225.0
Eredivisie,side_logloss_goal,0.4232112788841915,0.4501661994606189,0.0269549205764274,225.0
La Liga,side_rmse,0.9503441635798622,0.9811052752711261,0.030761111691263943,258.0
La Liga,total_rmse,1.3017165811141964,1.3500070503956878,0.04829046928149139,258.0
La Liga,side_poisson_nll,0.8195383564441403,0.8446277453704615,0.025089388926321177,258.0
La Liga,side_brier_goal,0.1658766479364183,0.16911351073269204,0.0032368627962737484,258.0
La Liga,side_logloss_goal,0.5031852690165816,0.5138741268753464,0.010688857858764833,258.0
Liga I,side_rmse,1.0786323541283254,1.0042453932096402,-0.07438696091868513,231.0
Liga I,total_rmse,1.4889317221579401,1.4169798075439592,-0.07195191461398087,231.0
Liga I,side_poisson_nll,0.874959685178776,0.8580284898607901,-0.016931195317985925,231.0
Liga I,side_brier_goal,0.1697846011531271,0.1720270893387204,0.0022424881855933054,231.0
Liga I,side_logloss_goal,0.5226177059605461,0.5231216147392296,0.0005039087786834484,231.0
Ligue 1,side_rmse,1.0281979936319374,1.130931164959392,0.10273317132745463,216.0
Ligue 1,total_rmse,1.4984811922958825,1.6617800110137726,0.1632988187178901,216.0
Ligue 1,side_poisson_nll,0.710493870527707,0.7788328750714887,0.06833900454378172,216.0
Ligue 1,side_brier_goal,0.17046969795913383,0.17894626464519878,0.008476566686064946,216.0
Ligue 1,side_logloss_goal,0.5096446391497383,0.5305465629448182,0.020901923795079824,216.0
Ligue 2,side_rmse,0.9386256215254968,0.9798904399328041,0.041264818407307335,223.0
Ligue 2,total_rmse,1.341789513274093,1.4481226356241128,0.1063331223500199,223.0
Ligue 2,side_poisson_nll,0.8273363606167351,0.8565834865741968,0.029247125957461706,223.0
Ligue 2,side_brier_goal,0.17419152732147414,0.18186401724246942,0.007672489920995285,223.0
Ligue 2,side_logloss_goal,0.5251322805495512,0.5419866787538828,0.016854398204331655,223.0
Premier League,side_rmse,0.9758310650091729,1.018913112735305,0.04308204772613211,281.0
Premier League,total_rmse,1.3958354764126244,1.4816803062214066,0.08584482980878216,281.0
Premier League,side_poisson_nll,0.7952802391236254,0.8268829111783621,0.03160267205473666,281.0
Premier League,side_brier_goal,0.16276607013011773,0.16862950149824532,0.005863431368127586,281.0
Premier League,side_logloss_goal,0.4987512550765202,0.5147301729847216,0.015978917908201384,281.0
Primeira Liga,side_rmse,1.0678275742004788,1.0840934953154304,0.01626592111495162,215.0
Primeira Liga,total_rmse,1.5168349320609709,1.4204385398239683,-0.09639639223700258,215.0
Primeira Liga,side_poisson_nll,0.7570436873811175,0.7932971930177986,0.03625350563668106,215.0
Primeira Liga,side_brier_goal,0.17106073484813716,0.18385920646285314,0.012798471614715978,215.0
Primeira Liga,side_logloss_goal,0.5165831208947124,0.5472239154153344,0.030640794520622072,215.0
Serie A,side_rmse,0.9675155028417162,0.987906068703108,0.020390565861391874,268.0
Serie A,total_rmse,1.3902571780416413,1.4000997427084876,0.009842564666846298,268.0
Serie A,side_poisson_nll,0.8354191644163083,0.8612515402482828,0.025832375831974508,268.0
Serie A,side_brier_goal,0.18221561323516916,0.19051633040022445,0.008300717165055288,268.0
Serie A,side_logloss_goal,0.5440417075038277,0.563545399112067,0.019503691608239282,268.0
Serie B,side_rmse,0.908686914650563,0.91101861326592,0.0023316986153570918,270.0
Serie B,total_rmse,1.2911250258315983,1.3014143874451458,0.010289361613547543,270.0
Serie B,side_poisson_nll,0.8507513407735137,0.8649378112682897,0.01418647049477606,270.0
Serie B,side_brier_goal,0.17215920376560268,0.17311840965595213,0.0009592058903494516,270.0
Serie B,side_logloss_goal,0.5201409533822957,0.523774572633399,0.0036336192511032817,270.0
Süper Lig,side_rmse,0.943396088885015,0.9951518745863465,0.051755785701331436,216.0
Süper Lig,total_rmse,1.3402905766706346,1.4301637077681166,0.08987313109748207,216.0
Süper Lig,side_poisson_nll,0.8003600293349801,0.840827046628869,0.04046701729388891,216.0
Süper Lig,side_brier_goal,0.16864086127403624,0.17885304385263334,0.010212182578597101,216.0
Süper Lig,side_logloss_goal,0.5069254159600981,0.5387532025258751,0.031827786565777005,216.0
