scope,metric,baseline,candidate,delta_candidate_minus_baseline,n_matches
OVERALL,side_rmse,0.9936899948752674,0.9770266436017999,-0.01666335127346752,
OVERALL,total_rmse,1.4143969574818231,1.4167235047274582,0.00232654724563508,
OVERALL,side_poisson_nll,0.7900743312307149,0.7734321695422246,-0.01664216168849031,
OVERALL,side_brier_goal,0.1641420526231809,0.1590820707484573,-0.005059981874723618,
OVERALL,side_logloss_goal,0.5015292445172153,0.4895181982452962,-0.012011046271919068,
2. Bundesliga,side_rmse,0.9884001017893452,0.9663501491852993,-0.022049952604045964,216.0
2. Bundesliga,total_rmse,1.4260707625811393,1.4194722944406821,-0.00659846814045717,216.0
2. Bundesliga,side_poisson_nll,0.7830668943827546,0.7697354568487419,-0.013331437534012669,216.0
2. Bundesliga,side_brier_goal,0.15834256705711405,0.15512159717131738,-0.003220969885796676,216.0
2. Bundesliga,side_logloss_goal,0.4892744792216333,0.47939484082577527,-0.009879638395858037,216.0
Bundesliga,side_rmse,1.097769735270913,1.1030373097441617,0.00526757447324866,215.0
Bundesliga,total_rmse,1.5691642292229553,1.5999729299473,0.030808700724344718,215.0
Bundesliga,side_poisson_nll,0.6315678079950989,0.6268337432616116,-0.004734064733487364,215.0
Bundesliga,side_brier_goal,0.14556404015359492,0.14175870798473664,-0.003805332168858283,215.0
Bundesliga,side_logloss_goal,0.46139476000233626,0.4520918671681472,-0.009302892834189058,215.0
Championship,side_rmse,0.9453656308616496,0.9085761954715085,-0.03678943539014112,417.0
Championship,total_rmse,1.3290812210233092,1.3136899010998127,-0.015391319923496516,417.0
Championship,side_poisson_nll,0.8207874618639901,0.7979069714052827,-0.022880490458707436,417.0
Championship,side_brier_goal,0.15936063880114792,0.15432650489714203,-0.005034133904005894,417.0
Championship,side_logloss_goal,0.4932375218743381,0.4785553402501352,-0.014682181624202928,417.0
Eredivisie,side_rmse,1.0789478720532704,1.0890664711231328,0.010118599069862455,225.0
Eredivisie,total_rmse,1.5837558709999617,1.5987452316422295,0.014989360642267746,225.0
Eredivisie,side_poisson_nll,0.6982372411035249,0.7009297770590238,0.002692535955498898,225.0
Eredivisie,side_brier_goal,0.13214693820822385,0.12956460463104413,-0.002582333577179713,225.0
Eredivisie,side_logloss_goal,0.4232112788841915,0.4185666130263865,-0.0046446658578050415,225.0
La Liga,side_rmse,0.9503441635798622,0.9433625791860162,-0.0069815843938459965,258.0
La Liga,total_rmse,1.3017165811141964,1.342130928947533,0.04041434783333653,258.0
La Liga,side_poisson_nll,0.8195383564441403,0.8097048910819274,-0.009833465362212856,258.0
La Liga,side_brier_goal,0.1658766479364183,0.16317254526749284,-0.0027041026689254566,258.0
La Liga,side_logloss_goal,0.5031852690165816,0.4965736336811705,-0.006611635335411037,258.0
