Date,Home,Away,Pick_1X2,Prob_1X2,Odds_1X2,Edge_1X2,EV_1X2,Pick_OU,Prob_OU,Odds_OU,Edge_OU,EV_OU,Pick_TG,Prob_TG,Odds_TG,Edge_TG,EV_TG,Higher
2025-08-29 22:30:00,Valencia,Getafe,1X2 D,44.9%,2.00,11.6%,-0.10,OU 2.5 Under,58.0%,1.90,8.0%,0.10,TG 0-3,74.0%,3.00,40.7%,1.22,OU (58.0%)
2025-08-30 18:00:00,Alaves,Ath Madrid,1X2 H,82.7%,2.00,49.4%,0.65,OU 2.5 Under,63.3%,1.90,13.3%,0.20,TG 0-3,78.0%,3.00,44.7%,1.34,1X2 (82.7%)
2025-08-30 20:30:00,Girona,Sevilla,1X2 H,79.7%,2.00,46.4%,0.59,OU 2.5 Under,77.7%,1.90,27.7%,0.48,TG 0-3,85.6%,3.00,52.2%,1.57,1X2 (79.7%)
2025-08-30 22:30:00,Real Madrid,Mallorca,1X2 H,79.1%,2.00,45.8%,0.58,OU 2.5 Under,51.7%,1.90,1.7%,-0.02,TG 0-3,71.7%,3.00,38.3%,1.15,1X2 (79.1%)
2025-08-31 18:00:00,Celta,Villarreal,1X2 A,68.8%,2.00,35.5%,0.38,OU 2.5 Over,81.7%,1.90,31.7%,0.55,TG 2-5,72.4%,3.00,39.1%,1.17,OU (81.7%)
2025-08-31 20:00:00,Betis,Ath Bilbao,1X2 H,68.6%,2.00,35.3%,0.37,OU 2.5 Under,89.0%,1.90,39.0%,0.69,TG 0-3,91.1%,3.00,57.8%,1.73,OU (89.0%)
2025-08-31 22:30:00,Vallecano,Barcelona,1X2 A,45.5%,2.00,12.1%,-0.09,OU 2.5 Over,90.0%,1.90,40.0%,0.71,TG 2-5,71.2%,3.00,37.8%,1.14,OU (90.0%)
