league,matches,current_ou_thr,current_ou_acc,current_ou_bacc,current_ou_yes_rate,best_ou_thr_bacc,best_ou_acc,best_ou_bacc,best_ou_yes_rate,ou_bacc_gain,current_btts_thr,current_btts_acc,current_btts_bacc,current_btts_yes_rate,best_btts_thr_bacc,best_btts_acc,best_btts_bacc,best_btts_yes_rate,btts_bacc_gain
Serie B,161,0.5,0.5714285714285714,0.5499378689033861,0.22981366459627328,0.54,0.5962732919254659,0.5698974836905871,0.16770186335403728,0.019959614787200985,0.5,0.4906832298136646,0.48834876543209876,0.12422360248447205,0.42,0.515527950310559,0.5137345679012346,0.2111801242236025,0.025385802469135854
Ligue 2,103,0.5,0.49514563106796117,0.49170437405731526,0.14563106796116504,0.32,0.5242718446601942,0.52526395173454,0.6019417475728155,0.03355957767722473,0.5,0.47572815533980584,0.5221205186880244,0.06796116504854369,0.38,0.5631067961165048,0.5779938977879481,0.36893203883495146,0.055873379099923626
Primeira Liga,125,0.5,0.448,0.491123476417594,0.264,0.53,0.496,0.5499470058293587,0.216,0.05882352941176472,0.5,0.52,0.5064102564102564,0.16,0.51,0.528,0.5128205128205129,0.12,0.0064102564102564985
