league,matches,ou_current_thr,ou_current_acc,ou_current_bacc,ou_best_bal_thr,ou_best_bal_acc,ou_best_bal_bacc,ou_bacc_gain,btts_current_thr,btts_current_acc,btts_current_bacc,btts_best_bal_thr,btts_best_bal_acc,btts_best_bal_bacc,btts_bacc_gain
Premier League,181,0.5,0.5193370165745856,0.5333946078431372,0.39,0.574585635359116,0.5713235294117647,0.03792892156862748,0.5,0.4198895027624309,0.46821928071928076,0.31,0.5911602209944752,0.5599400599400599,0.09172077922077915
Bundesliga,133,0.3,0.7593984962406015,0.7033983008495752,0.42,0.7443609022556391,0.7533733133433284,0.049975012493753135,0.28,0.8120300751879699,0.8001700680272108,0.28,0.8120300751879699,0.8001700680272108,0.0
Serie A,170,0.5,0.5411764705882353,0.535659880902922,0.54,0.5529411764705883,0.5457692840326824,0.010109403129760386,0.5,0.5294117647058824,0.49384098544232924,0.32,0.5176470588235295,0.5373740201567749,0.043533034714445695
