fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,lg_avg_h_base,lg_avg_a_base,lg_avg_h_effective,lg_avg_a_effective,team_anchor_enabled,team_anchor_rel,team_anchor_blend,team_anchor_h,team_anchor_a,sim_anchor_h,sim_anchor_a,sim_gf_h,sim_ga_h,sim_gf_a,sim_ga_a,over_score,under_score,sterile_anchor_override_enabled,sterile_anchor_mode,sterile_anchor_target_total,sterile_anchor_blend,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,sterile_under25_boost_cap,sterile_under25_boost_applied,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_matchup_flag,sterile_matchup_score,sterile_valid_H,sterile_valid_A,sterile_weak_attack_H,sterile_weak_attack_A,sterile_strong_defense_H,sterile_strong_defense_A,sterile_strong_weak_attack_H,sterile_strong_weak_attack_A,sterile_stronger_defense_H,sterile_stronger_defense_A,sterile_moderate_trigger,sterile_strong_trigger,sterile_last10_valid_H,sterile_last10_valid_A,sterile_last10_weak_attack_H,sterile_last10_weak_attack_A,sterile_last10_strong_weak_attack_H,sterile_last10_strong_weak_attack_A,sterile_last10_strong_defense_H,sterile_last10_strong_defense_A,sterile_last10_stronger_defense_H,sterile_last10_stronger_defense_A,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-02-21T15:00:00,2026-02-21,Premier League,England,2025-2026,Aston Villa,Leeds,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.2087971103416213,1.05525003739678,2.264047147738401,1.5,1.2,1.5,1.2,1,0.3919378311214324,0.3331471564532175,1.460506808209414,1.1662846348149156,1.3814542131740153,1.0987973796804151,1.164555429062725,0.801254278979161,1.3963404803816692,1.5983529972853057,0.4539479982548138,0.4932206793623491,1,NONE,,1.0,0.3944053408546044,0.6055946591453956,0.3944053408546044,0.6055946591453956,OU25_UNDER,0.05,0.0,,,,,,,0.4572674456353054,0.5427325543646946,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.959689155607162,4.995759644764713,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,2,1,1,2,1,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,1,1,X
2026-02-21T15:00:00,2026-02-21,Premier League,England,2025-2026,Brentford,Brighton,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.395906365046409,0.995741488929834,2.391647853976243,1.5,1.2,1.5,1.2,1,0.334708325842835,0.2845020769664098,1.5304793650509778,1.1072818023421906,1.6071323112153455,0.8741036176380661,1.6352050706044725,0.7906357961588465,0.9575714391172856,1.579059551826219,0.4616277635541593,0.4832885408893629,1,NONE,,1.0,0.4281073121161405,0.5718926878838595,0.4281073121161405,0.5718926878838595,OU25_UNDER,0.05,0.0,,,,,,,0.4744209046290818,0.5255790953709182,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.673541629214175,4.824574969536188,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,2,2,1,4,1,2,1,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,2,2
2026-02-21T15:00:00,2026-02-21,Premier League,England,2025-2026,Chelsea,Burnley,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.5663003002161495,1.0677605084894783,2.634060808705628,1.5,1.2,1.5,1.2,1,0.2400343491266339,0.2040291967576388,1.5812338412469755,1.2248482365725208,1.8981481206509447,1.3217876508235125,2.049770557689484,1.7246515168507843,0.9189237847962404,1.7465256836124057,0.4592387340038203,0.4786881200917756,1,NONE,,1.0,0.4900863532396748,0.5099136467603251,0.4900863532396748,0.5099136467603251,OU25_UNDER,0.05,0.0,,,,,,,0.5191925033391146,0.4808074966608854,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.2001717456331695,4.66934359333318,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,3,1,1,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,1,1,X
2026-02-21T17:30:00,2026-02-21,Premier League,England,2025-2026,West Ham,Bournemouth,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.1887224766411886,1.4461192738306936,2.634841750471882,1.5,1.2,1.5,1.2,1,0.3758746303451493,0.3194934357933769,1.498120094652754,1.2936353686177255,1.494115981310922,1.493074467665375,1.4137678872940214,1.378040262738975,1.6081086725917757,1.5744640753278225,0.4790145516379738,0.4682400269906324,1,NONE,,1.0,0.4902812295969652,0.5097187704030348,0.4902812295969652,0.5097187704030348,OU25_UNDER,0.05,0.0,,,,,,,0.5316377978467282,0.4683622021532718,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.879373151725747,4.980811593749728,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,1,1,2,1,1,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,0,X
2026-02-21T20:00:00,2026-02-21,Premier League,England,2025-2026,Manchester City,Newcastle,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.2222053387892624,0.9920300231934396,2.214235361982702,1.5,1.2,1.5,1.2,1,0.378494832850558,0.3217206079229743,1.5714786051857117,1.0695019922218802,1.7221760230007552,0.794374732098718,1.99631086403434,0.4007595488424851,1.187989915354951,1.4480411819671706,0.4665896010990764,0.486486958001723,1,NONE,,1.0,0.3811007660399055,0.6188992339600945,0.3811007660399055,0.6188992339600945,OU25_UNDER,0.05,0.0,,,,,,,0.4438340604703246,0.5561659395296754,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.997554745661296,4.89247416425279,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,3,0,2,4,2,2,1,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,2,1,1
2026-02-22T14:00:00,2026-02-22,Premier League,England,2025-2026,Crystal Palace,Wolves,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.178589440829673,0.8413562260601747,2.019945666889848,1.5,1.2,1.5,1.2,1,0.3468555567314986,0.2948272232217738,1.3509860914816008,1.1822402100003209,0.9945720856777576,1.1397620416269367,0.8424491022854912,1.691040900135271,0.5884831831186026,1.1466950690700242,0.4216863034452839,0.5213698513754607,1,NONE,,1.0,0.3287220568900798,0.6712779431099202,0.3287220568900798,0.6712779431099202,OU25_UNDER,0.05,0.0,,,,,,,0.3938247703591737,0.6061752296408263,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.734277783657493,4.889131703878384,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,1,1,2,1,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,0,1
2026-02-22T14:00:00,2026-02-22,Premier League,England,2025-2026,Nottingham Forest,Liverpool,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,0.8584647205978365,0.8828819501651696,1.741346670763006,1.5,1.2,1.5,1.2,1,0.3326070999962079,0.2827160349967767,1.3074083200542543,1.2163726585419528,0.8187804860522279,1.2579120266105157,0.3915118045510576,1.0581812774369674,1.4576427757840635,1.2460491675533982,0.3842233414723476,0.5569752964962494,1,NONE,,1.0,0.2537291649829359,0.7462708350170641,0.2537291649829359,0.7462708350170641,OU25_UNDER,0.05,0.0,,,,,,,0.337882689327649,0.662117310672351,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.66303549998104,4.738962780650934,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,3,3,3,2,0,1,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,0,1,2
2026-02-22T14:00:00,2026-02-22,Premier League,England,2025-2026,Sunderland,Fulham,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.1747740697613371,0.8900333075552115,2.0648073773165487,1.5,1.2,1.5,1.2,1,0.3846832930586206,0.3269807990998275,1.4493949518274272,1.0371904190096373,1.3452354134802786,0.7020821362031815,1.1613824792781573,0.6032458657041009,0.8009184067022621,1.5290883476824002,0.4468202733347622,0.5014673619468211,1,NONE,,1.0,0.340858939796801,0.6591410602031991,0.340858939796801,0.6591410602031991,OU25_UNDER,0.05,0.0,,,,,,,0.4073118868431636,0.5926881131568364,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.960694412853306,4.923416465293103,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,2,0,1,4,2,3,2,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,3,2
2026-02-22T16:30:00,2026-02-22,Premier League,England,2025-2026,Tottenham,Arsenal,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.2406590863665776,1.104709285007321,2.3453683713738984,1.5,1.2,1.5,1.2,1,0.2537776919492799,0.2157110381568879,1.4037974591925626,1.3297980191393224,1.054021242355392,1.801721730368381,1.2473224536105578,1.788018359272764,1.8154251014639984,0.8607200311002263,0.472198838435257,0.4822296036384033,1,NONE,,1.0,0.4159549900896021,0.5840450099103979,0.4159549900896021,0.5840450099103979,OU25_UNDER,0.05,0.0,,,,,,,0.4753111654725535,0.5246888345274465,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.2688884597464,5.716423184851908,5.0,6.0,5.0,6.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,2,1,0,2,5,1,2,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,4,2
2026-02-23T20:00:00,2026-02-23,Premier League,England,2025-2026,Everton,Manchester United,poisson_formula,2026-02-22T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.2943335914966003,1.2343452302675535,2.528678821764154,1.5,1.2,1.5,1.2,1,0.3850542216060389,0.3272960883651331,1.437208512175225,1.3694601904153785,1.3081508149442822,1.7177580681206546,1.0245634637024057,1.8516374023063704,1.5838787339349385,1.591738166186159,0.4754289301404642,0.4749216854931174,1,NONE,,1.0,0.4635218593284904,0.5364781406715096,0.4635218593284904,0.5364781406715096,OU25_UNDER,0.05,0.0,,,,,,,0.5146586260485919,0.4853413739514081,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.925271108030195,4.957565794622266,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,3,0,1,0,2,0,1,0,0,0,0,2026-02-23,2026-02-23,2026-02-23,0,1,2
