Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,Season,Over2.5,Last5HomeOver2.5Perc,Last5AwayOver2.5Perc,HomeOver2.5Perc,AwayOver2.5Perc,HS,AS,AF,HF,MaxCA,HC,AC,HST,AST,MaxCH,MaxAHA,AY
2023-10-08,I1,Cagliari,Roma,1,4,A,0,2,2023/2024,1,50.0,75.0,63.16,68.42,16,11,13,15,1.86,4,3,2,5,6.0,1.87,3
2023-10-29,I1,Inter,Roma,1,0,H,0,0,2023/2024,0,80.0,60.0,52.63,68.42,19,3,9,14,7.5,8,0,3,1,1.62,2.12,4
2023-11-12,I1,Lazio,Roma,0,0,D,0,0,2023/2024,0,20.0,40.0,26.32,68.42,7,8,13,12,2.94,4,1,2,1,3.16,1.86,4
2023-12-03,I1,Sassuolo,Roma,1,2,A,1,0,2023/2024,1,40.0,60.0,47.37,68.42,8,15,11,10,2.15,1,11,2,7,3.75,1.99,1
2023-12-17,I1,Bologna,Roma,2,0,H,1,0,2023/2024,0,40.0,40.0,36.84,68.42,8,8,16,16,3.64,0,4,2,3,2.59,1.9,4
2023-12-30,I1,Juventus,Roma,1,0,H,0,0,2023/2024,0,20.0,20.0,26.32,68.42,13,11,14,15,4.33,2,2,4,2,2.21,2.17,1
2024-01-14,I1,Milan,Roma,3,1,H,1,0,2023/2024,1,60.0,40.0,52.63,68.42,17,12,9,12,4.26,2,5,5,5,2.24,2.08,3
2024-01-29,I1,Salernitana,Roma,1,2,A,0,0,2023/2024,1,100.0,60.0,68.42,68.42,15,5,12,12,1.74,5,1,7,2,5.79,1.9,3
2024-02-18,I1,Frosinone,Roma,0,3,A,0,1,2023/2024,1,100.0,60.0,73.68,68.42,25,13,16,10,2.06,10,2,7,5,4.05,1.98,3
2024-03-02,I1,Monza,Roma,1,4,A,0,2,2023/2024,1,60.0,80.0,42.11,68.42,16,12,18,11,2.15,6,3,5,6,4.0,2.11,4
2024-03-10,I1,Fiorentina,Roma,2,2,D,1,0,2023/2024,1,80.0,100.0,68.42,68.42,15,10,15,10,3.1,8,2,5,5,2.68,2.03,5
2024-04-01,I1,Lecce,Roma,0,0,D,0,0,2023/2024,0,60.0,80.0,36.84,68.42,27,10,12,9,2.27,8,4,6,3,4.2,1.93,2
2024-04-25,I1,Udinese,Roma,1,2,A,1,0,2023/2024,1,40.0,80.0,47.37,68.42,9,19,10,15,4.08,5,8,3,5,5.3,1.97,2
2024-04-28,I1,Napoli,Roma,2,2,D,0,0,2023/2024,1,80.0,80.0,63.16,68.42,27,10,5,11,4.1,9,2,9,4,2.02,1.93,0
2024-05-12,I1,Atalanta,Roma,2,1,H,2,0,2023/2024,1,80.0,80.0,68.42,68.42,24,9,11,11,4.35,6,1,7,6,1.94,1.89,1
2024-05-26,I1,Empoli,Roma,2,1,H,1,1,2023/2024,1,40.0,80.0,31.58,68.42,17,15,12,18,3.28,4,5,7,3,2.35,1.94,1
2024-08-18,I1,Cagliari,Roma,0,0,D,0,0,2024/2025,0,0.0,0.0,57.89,26.32,12,13,7,15,2.16,5,3,2,3,3.97,2.02,0
2024-09-01,I1,Juventus,Roma,0,0,D,0,0,2024/2025,0,50.0,0.0,42.11,26.32,8,7,12,11,5.3,6,4,1,1,1.8,1.91,2
2024-09-15,I1,Genoa,Roma,1,1,D,0,1,2024/2025,0,33.33,0.0,42.11,26.32,20,16,12,9,2.26,4,5,8,6,3.69,2.0,3
2024-10-06,I1,Monza,Roma,1,1,D,0,0,2024/2025,0,25.0,0.0,47.37,26.32,3,15,13,16,2.08,1,3,3,4,4.45,1.99,1
2024-10-27,I1,Fiorentina,Roma,5,1,H,3,1,2024/2025,1,80.0,20.0,63.16,26.32,21,14,11,13,3.07,6,2,10,5,2.6,2.08,5
2024-11-03,I1,Verona,Roma,3,2,H,2,1,2024/2025,1,100.0,40.0,57.89,26.32,7,14,11,16,1.89,2,2,3,3,5.31,1.85,2
2024-11-24,I1,Napoli,Roma,1,0,H,0,0,2024/2025,0,40.0,40.0,47.37,26.32,14,6,9,8,6.0,8,2,2,1,1.81,1.93,3
2024-12-15,I1,Como,Roma,2,0,H,0,0,2024/2025,0,20.0,40.0,47.37,26.32,18,6,17,18,2.25,6,5,7,1,4.06,1.98,1
2024-12-29,I1,Milan,Roma,1,1,D,1,1,2024/2025,0,20.0,40.0,47.37,26.32,21,12,8,17,3.46,6,5,7,5,2.43,1.97,4
2025-01-12,I1,Bologna,Roma,2,2,D,0,0,2024/2025,1,60.0,40.0,47.37,26.32,14,11,10,18,2.93,5,4,8,4,2.81,1.91,1
2025-01-26,I1,Udinese,Roma,1,2,A,1,0,2024/2025,1,60.0,40.0,52.63,26.32,10,16,12,15,2.54,1,5,3,10,3.21,1.96,2
2025-02-09,I1,Venezia,Roma,0,1,A,0,0,2024/2025,0,20.0,40.0,31.58,26.32,12,13,21,13,1.95,4,6,3,5,4.7,1.95,3
2025-02-16,I1,Parma,Roma,0,1,A,0,1,2024/2025,0,60.0,40.0,52.63,26.32,5,16,5,11,2.2,1,10,1,4,4.02,2.15,0
2025-03-09,I1,Empoli,Roma,0,1,A,0,1,2024/2025,0,40.0,40.0,36.84,26.32,3,16,10,12,2.12,1,9,1,7,4.16,2.02,0
2025-03-29,I1,Lecce,Roma,0,1,A,0,0,2024/2025,0,40.0,20.0,42.11,26.32,17,16,11,6,1.78,6,6,4,6,5.46,2.08,3
2025-04-13,I1,Lazio,Roma,1,1,D,0,0,2024/2025,0,40.0,0.0,63.16,26.32,12,9,12,12,2.47,10,5,7,4,3.33,1.89,2
2025-04-27,I1,Inter,Roma,0,1,A,0,1,2024/2025,0,60.0,0.0,63.16,26.32,17,19,9,11,5.1,4,3,2,7,1.85,1.91,2
2025-05-12,I1,Atalanta,Roma,2,1,H,1,1,2024/2025,1,20.0,20.0,52.63,26.32,16,10,14,14,3.9,8,7,3,4,2.1,1.9,0
2025-05-25,I1,Torino,Roma,0,2,A,0,1,2024/2025,0,0.0,20.0,15.79,26.32,11,15,11,15,1.61,2,1,4,5,5.75,2.01,1
2025-08-30,I1,Pisa,Roma,0,1,A,0,0,2025/2026,0,0.0,0.0,0.0,28.57,7,10,10,14,1.73,1,7,3,5,5.5,1.95,1
2025-09-21,I1,Lazio,Roma,0,1,A,0,1,2025/2026,0,50.0,0.0,28.57,28.57,10,13,22,14,2.88,3,6,2,6,3.1,1.85,1
2025-10-05,I1,Fiorentina,Roma,1,2,A,1,2,2025/2026,1,100.0,33.33,66.67,28.57,11,8,21,19,2.5,3,4,3,3,3.1,1.75,3
2025-10-26,I1,Sassuolo,Roma,0,1,A,0,1,2025/2026,0,25.0,25.0,57.14,28.57,11,15,16,18,1.95,6,6,1,8,4.6,1.86,2
2025-11-02,I1,Milan,Roma,1,0,H,1,0,2025/2026,0,60.0,20.0,57.14,28.57,17,20,13,12,3.5,7,8,8,6,2.38,2.0,5
2025-11-23,I1,Cremonese,Roma,1,3,A,0,1,2025/2026,1,40.0,40.0,42.86,28.57,9,12,16,12,1.75,3,5,4,6,5.8,1.83,2
2025-12-07,I1,Cagliari,Roma,1,0,H,0,0,2025/2026,0,40.0,40.0,28.57,28.57,15,6,16,18,1.67,4,1,8,2,6.0,1.9,1
2023-08-20,I1,Roma,Salernitana,2,2,D,1,1,2023/2024,1,100.0,100.0,52.63,63.16,13,3,9,12,8.13,9,1,3,2,1.59,2.04,4
2023-09-03,I1,Lecce,Salernitana,2,0,H,1,0,2023/2024,0,50.0,50.0,36.84,63.16,20,11,15,17,4.46,6,5,6,4,2.06,1.88,3
2023-09-27,I1,Empoli,Salernitana,1,0,H,1,0,2023/2024,0,0.0,33.33,31.58,63.16,13,14,13,18,3.21,10,2,6,2,2.91,1.95,1
2023-10-08,I1,Monza,Salernitana,3,0,H,2,0,2023/2024,1,25.0,50.0,42.11,63.16,16,8,16,8,5.3,7,7,7,5,1.75,2.05,2
2023-10-27,I1,Genoa,Salernitana,1,0,H,1,0,2023/2024,0,60.0,40.0,42.11,63.16,8,7,19,11,5.3,7,0,4,2,1.79,1.97,4
2023-11-10,I1,Sassuolo,Salernitana,2,2,D,1,2,2023/2024,1,40.0,40.0,47.37,63.16,29,9,14,12,4.75,11,0,9,2,1.76,2.06,1
2023-12-03,I1,Fiorentina,Salernitana,3,0,H,2,0,2023/2024,1,60.0,60.0,68.42,63.16,22,11,12,13,8.5,3,2,9,1,1.48,1.9,0
2023-12-18,I1,Atalanta,Salernitana,4,1,H,0,1,2023/2024,1,80.0,80.0,68.42,63.16,20,10,11,9,13.0,10,7,11,3,1.31,2.01,2
2023-12-30,I1,Verona,Salernitana,0,1,A,0,0,2023/2024,0,40.0,60.0,57.89,63.16,11,9,13,14,4.62,7,6,0,3,2.01,1.98,2
2024-01-13,I1,Napoli,Salernitana,2,1,H,1,1,2023/2024,1,60.0,80.0,63.16,63.16,20,6,10,15,12.0,8,3,7,2,1.35,1.94,2
2024-02-04,I1,Torino,Salernitana,0,0,D,0,0,2023/2024,0,40.0,60.0,26.32,63.16,13,3,8,11,7.0,10,1,1,1,1.61,2.01,1
2024-02-16,I1,Inter,Salernitana,4,0,H,3,0,2023/2024,1,60.0,60.0,52.63,63.16,26,1,9,9,26.0,18,0,10,0,1.14,1.96,1
2024-03-02,I1,Udinese,Salernitana,1,1,D,1,1,2023/2024,0,40.0,40.0,47.37,63.16,18,17,13,13,6.0,5,6,5,1,1.7,2.08,1
2024-03-09,I1,Cagliari,Salernitana,4,2,H,2,0,2023/2024,1,80.0,60.0,63.16,63.16,12,12,11,16,4.77,5,4,7,5,1.88,2.06,2
2024-04-01,I1,Bologna,Salernitana,3,0,H,2,0,2023/2024,1,40.0,60.0,36.84,63.16,14,8,12,11,15.0,5,3,3,2,1.33,1.98,3
2024-04-12,I1,Lazio,Salernitana,4,1,H,3,1,2023/2024,1,60.0,80.0,26.32,63.16,17,8,10,15,12.0,9,0,6,5,1.37,2.09,1
2024-04-26,I1,Frosinone,Salernitana,3,0,H,2,0,2023/2024,1,60.0,80.0,73.68,63.16,11,17,10,13,8.57,7,3,4,2,1.48,2.03,2
2024-05-12,I1,Juventus,Salernitana,1,1,D,0,1,2023/2024,0,20.0,80.0,26.32,63.16,25,13,12,15,21.0,9,4,6,4,1.18,1.92,5
2024-05-25,I1,Milan,Salernitana,3,3,D,2,0,2023/2024,1,100.0,80.0,52.63,63.16,23,14,9,6,26.0,13,3,11,6,1.14,1.97,1
2023-08-27,I1,Napoli,Sassuolo,2,0,H,1,0,2023/2024,0,0.0,0.0,63.16,63.16,25,6,10,9,10.0,12,4,5,1,1.36,2.0,1
2023-09-17,I1,Frosinone,Sassuolo,4,2,H,1,2,2023/2024,1,100.0,50.0,73.68,63.16,16,18,9,10,2.43,5,6,6,7,3.17,1.87,2
2023-09-27,I1,Inter,Sassuolo,1,2,A,1,0,2023/2024,1,75.0,66.67,52.63,63.16,13,13,8,10,12.0,8,6,3,6,1.29,2.02,1
2023-10-06,I1,Lecce,Sassuolo,1,1,D,0,1,2023/2024,0,40.0,50.0,36.84,63.16,13,14,15,9,2.8,5,3,4,1,2.84,2.03,3
2023-11-06,I1,Torino,Sassuolo,2,1,H,1,1,2023/2024,1,40.0,60.0,26.32,63.16,21,5,6,9,3.9,9,2,9,2,2.1,2.03,1
2023-11-26,I1,Empoli,Sassuolo,3,4,A,2,2,2023/2024,1,40.0,80.0,31.58,63.16,11,17,15,20,2.71,6,5,9,9,2.85,1.87,2
2023-12-11,I1,Cagliari,Sassuolo,2,1,H,0,1,2023/2024,1,80.0,80.0,63.16,63.16,18,8,15,15,2.93,10,4,6,4,2.67,1.92,7
2023-12-17,I1,Udinese,Sassuolo,2,2,D,1,0,2023/2024,1,60.0,80.0,47.37,63.16,9,21,6,13,3.2,1,13,7,7,2.53,1.97,1
2023-12-30,I1,Milan,Sassuolo,1,0,H,0,0,2023/2024,0,40.0,80.0,52.63,63.16,20,12,7,8,6.19,6,5,2,6,1.56,1.94,1
2024-01-16,I1,Juventus,Sassuolo,3,0,H,2,0,2023/2024,1,40.0,80.0,26.32,63.16,12,8,9,9,9.0,5,2,5,4,1.45,1.97,2
2024-01-28,I1,Monza,Sassuolo,1,0,H,1,0,2023/2024,0,40.0,60.0,42.11,63.16,12,14,13,8,3.69,4,5,1,3,2.24,1.92,3
2024-02-03,I1,Bologna,Sassuolo,4,2,H,1,2,2023/2024,1,20.0,60.0,36.84,63.16,19,12,10,12,6.55,7,4,4,4,1.67,1.94,3
2024-02-17,I1,Atalanta,Sassuolo,3,0,H,1,0,2023/2024,1,60.0,60.0,68.42,63.16,28,12,9,10,10.0,11,5,13,4,1.36,1.94,0
2024-03-03,I1,Verona,Sassuolo,1,0,H,0,0,2023/2024,0,40.0,60.0,57.89,63.16,10,13,10,23,3.17,2,10,5,2,2.46,1.95,2
2024-03-17,I1,Roma,Sassuolo,1,0,H,0,0,2023/2024,0,80.0,40.0,52.63,63.16,10,8,10,11,8.77,4,7,4,2,1.44,2.08,1
2024-04-05,I1,Salernitana,Sassuolo,2,2,D,0,2,2023/2024,1,60.0,60.0,68.42,63.16,5,16,13,10,2.31,4,9,2,5,3.47,1.96,3
2024-04-28,I1,Fiorentina,Sassuolo,5,1,H,1,0,2023/2024,1,80.0,60.0,68.42,63.16,22,7,9,9,6.42,10,2,10,2,1.62,2.02,2
2024-05-12,I1,Genoa,Sassuolo,2,1,H,0,1,2023/2024,1,60.0,60.0,42.11,63.16,8,12,10,13,3.27,3,7,2,4,2.37,1.98,2
2024-05-26,I1,Lazio,Sassuolo,1,1,D,0,0,2023/2024,0,20.0,60.0,26.32,63.16,8,8,11,15,11.0,5,3,6,3,1.36,1.92,1
2025-08-29,I1,Cremonese,Sassuolo,3,2,H,2,0,2025/2026,1,100.0,100.0,42.86,57.14,11,9,17,12,2.83,5,4,6,6,2.8,2.07,2
2025-09-21,I1,Inter,Sassuolo,2,1,H,1,0,2025/2026,1,100.0,100.0,75.0,57.14,20,9,8,15,10.0,7,3,6,5,1.33,1.83,1
2025-10-03,I1,Verona,Sassuolo,0,1,A,0,0,2025/2026,0,0.0,66.67,57.14,57.14,17,11,12,14,3.4,4,2,9,3,2.45,1.74,2
2025-10-18,I1,Lecce,Sassuolo,0,0,D,0,0,2025/2026,0,50.0,50.0,42.86,57.14,11,9,14,16,2.8,6,4,2,2,3.05,1.78,2
2025-10-30,I1,Cagliari,Sassuolo,1,2,A,0,0,2025/2026,1,20.0,60.0,28.57,57.14,8,12,21,20,2.95,6,7,1,4,2.7,2.03,4
2025-11-09,I1,Atalanta,Sassuolo,0,3,A,0,1,2025/2026,1,40.0,60.0,28.57,57.14,14,8,8,9,7.5,4,1,2,4,1.5,1.86,2
2025-11-28,I1,Como,Sassuolo,2,0,H,1,0,2025/2026,0,20.0,40.0,14.29,57.14,18,12,7,11,5.0,4,4,13,5,1.85,22.0,1
2023-08-26,I1,Milan,Torino,4,1,H,3,1,2023/2024,1,100.0,100.0,52.63,36.84,17,8,16,13,5.75,2,1,7,1,1.8,2.06,3
2023-09-18,I1,Salernitana,Torino,0,3,A,0,2,2023/2024,1,50.0,100.0,68.42,36.84,14,11,16,12,2.26,1,2,4,3,3.96,1.95,2
2023-09-27,I1,Lazio,Torino,2,0,H,0,0,2023/2024,0,0.0,66.67,26.32,36.84,6,7,13,12,3.75,4,2,3,2,2.35,2.1,4
2023-10-07,I1,Juventus,Torino,2,0,H,0,0,2023/2024,0,25.0,50.0,26.32,36.84,17,10,8,10,4.52,7,3,6,1,2.15,2.01,1
2023-10-28,I1,Lecce,Torino,0,1,A,0,1,2023/2024,0,20.0,40.0,36.84,36.84,11,10,19,17,3.1,3,0,6,2,2.92,2.02,5
2023-11-11,I1,Monza,Torino,1,1,D,0,0,2023/2024,0,20.0,20.0,42.11,36.84,12,12,11,11,3.09,3,1,5,5,2.95,1.82,2
2023-11-27,I1,Bologna,Torino,2,0,H,0,0,2023/2024,0,40.0,0.0,36.84,36.84,13,9,15,16,3.81,3,2,2,3,2.46,1.9,4
2023-12-10,I1,Frosinone,Torino,0,0,D,0,0,2023/2024,0,60.0,0.0,73.68,36.84,11,16,17,13,2.31,3,8,5,3,3.97,1.95,3
2023-12-29,I1,Fiorentina,Torino,1,0,H,0,0,2023/2024,0,40.0,0.0,68.42,36.84,12,6,15,11,4.16,4,2,3,3,2.23,2.06,2
2024-01-13,I1,Genoa,Torino,0,0,D,0,0,2023/2024,0,0.0,0.0,42.11,36.84,11,6,11,11,2.72,8,4,6,0,3.36,1.89,2
2024-01-26,I1,Cagliari,Torino,1,2,A,0,2,2023/2024,1,60.0,20.0,63.16,36.84,25,16,12,12,2.3,8,2,10,6,3.95,1.93,4
2024-02-10,I1,Sassuolo,Torino,1,1,D,1,1,2023/2024,0,60.0,20.0,47.37,36.84,11,13,11,12,2.35,5,4,4,2,3.57,1.96,3
2024-02-26,I1,Roma,Torino,3,2,H,1,1,2023/2024,1,80.0,40.0,52.63,36.84,6,14,16,12,4.75,0,4,3,6,2.04,1.97,2
2024-03-08,I1,Napoli,Torino,1,1,D,0,0,2023/2024,0,60.0,40.0,63.16,36.84,22,11,13,9,5.75,13,7,8,2,1.92,1.91,2
2024-03-16,I1,Udinese,Torino,0,2,A,0,1,2023/2024,0,20.0,40.0,47.37,36.84,12,12,17,11,2.81,3,4,1,5,3.05,1.97,2
2024-04-06,I1,Empoli,Torino,3,2,H,1,0,2023/2024,1,20.0,40.0,31.58,36.84,4,19,13,13,2.25,1,7,3,5,3.9,1.96,1
2024-04-28,I1,Inter,Torino,2,0,H,0,0,2023/2024,0,40.0,40.0,52.63,36.84,17,11,8,6,7.0,5,4,5,3,1.6,2.0,0
2024-05-12,I1,Verona,Torino,1,2,A,0,0,2023/2024,1,80.0,40.0,57.89,36.84,13,6,15,19,2.7,7,4,5,2,3.3,1.83,2
2024-05-26,I1,Atalanta,Torino,3,0,H,2,0,2023/2024,1,80.0,60.0,68.42,36.84,18,8,10,18,2.9,2,5,7,1,2.59,1.9,1
2024-08-17,I1,Milan,Torino,2,2,D,0,1,2024/2025,1,100.0,100.0,47.37,36.84,20,6,7,10,7.41,9,2,6,3,1.53,2.13,4
2024-08-30,I1,Venezia,Torino,0,1,A,0,0,2024/2025,0,0.0,50.0,31.58,36.84,13,12,15,7,2.35,3,3,4,6,3.53,1.92,4
2024-09-20,I1,Verona,Torino,2,3,A,1,2,2024/2025,1,100.0,66.67,57.89,36.84,8,16,8,10,2.95,5,6,2,3,2.98,2.01,1
2024-10-05,I1,Inter,Torino,3,2,H,2,1,2024/2025,1,75.0,75.0,63.16,36.84,29,7,9,6,10.8,14,0,8,5,1.35,1.96,2
2024-10-20,I1,Cagliari,Torino,3,2,H,1,1,2024/2025,1,40.0,80.0,57.89,36.84,18,17,8,9,3.5,9,12,5,5,2.57,1.92,3
2024-10-31,I1,Roma,Torino,1,0,H,1,0,2024/2025,0,60.0,60.0,52.63,36.84,10,4,15,11,5.01,3,5,3,2,1.88,1.99,2
2024-11-09,I1,Juventus,Torino,2,0,H,1,0,2024/2025,0,20.0,60.0,42.11,36.84,13,6,14,7,8.05,5,5,4,1,1.62,1.88,3
2024-12-07,I1,Genoa,Torino,0,0,D,0,0,2024/2025,0,40.0,40.0,42.11,36.84,5,10,15,12,3.35,4,4,1,3,2.59,1.8,1
2024-12-13,I1,Empoli,Torino,0,1,A,0,0,2024/2025,0,20.0,20.0,36.84,36.84,10,14,15,7,3.43,12,3,4,4,2.67,2.14,3
2024-12-29,I1,Udinese,Torino,2,2,D,1,0,2024/2025,1,40.0,20.0,52.63,36.84,10,12,12,17,3.9,4,3,3,6,2.35,1.98,0
2025-01-19,I1,Fiorentina,Torino,1,1,D,1,0,2024/2025,0,60.0,20.0,63.16,36.84,20,6,11,16,5.45,9,2,6,3,1.8,1.94,3
2025-02-01,I1,Atalanta,Torino,1,1,D,1,1,2024/2025,0,60.0,20.0,52.63,36.84,22,5,11,6,7.0,8,0,10,3,1.6,1.9,3
2025-02-14,I1,Bologna,Torino,3,2,H,1,1,2024/2025,1,80.0,40.0,47.37,36.84,23,8,17,7,5.91,8,2,7,5,1.8,1.85,4
2025-03-02,I1,Monza,Torino,0,2,A,0,1,2024/2025,0,40.0,40.0,47.37,36.84,9,13,20,10,2.0,1,4,2,7,4.8,2.02,2
2025-03-08,I1,Parma,Torino,2,2,D,0,1,2024/2025,1,40.0,40.0,52.63,36.84,12,6,15,16,2.34,7,4,4,2,3.69,2.1,2
2025-03-31,I1,Lazio,Torino,1,1,D,0,0,2024/2025,0,60.0,40.0,63.16,36.84,16,7,20,9,5.36,5,3,6,2,1.9,1.89,4
2025-04-13,I1,Como,Torino,1,0,H,1,0,2024/2025,0,40.0,40.0,47.37,36.84,15,10,16,9,4.63,7,4,7,4,1.91,1.97,3
2025-04-27,I1,Napoli,Torino,2,0,H,2,0,2024/2025,0,60.0,20.0,47.37,36.84,8,9,13,5,10.0,2,5,2,0,1.4,1.86,3
2025-05-18,I1,Lecce,Torino,1,0,H,0,0,2024/2025,0,20.0,20.0,42.11,36.84,10,10,8,13,4.3,3,4,4,4,2.17,2.04,1
2025-08-25,I1,Inter,Torino,5,0,H,2,0,2025/2026,1,100.0,100.0,75.0,57.14,20,12,6,14,9.0,6,5,9,4,1.38,1.93,0
2025-09-14,I1,Roma,Torino,0,1,A,0,0,2025/2026,0,0.0,50.0,14.29,57.14,22,8,17,11,7.5,7,4,5,4,1.55,1.98,3
2025-09-29,I1,Parma,Torino,2,1,H,1,0,2025/2026,1,50.0,66.67,42.86,57.14,13,15,12,10,3.25,4,3,2,4,2.6,1.9,3
2025-10-04,I1,Lazio,Torino,3,3,D,2,1,2025/2026,1,66.67,75.0,28.57,57.14,9,16,22,13,4.33,3,5,4,8,2.1,1.9,3
2025-10-29,I1,Bologna,Torino,0,0,D,0,0,2025/2026,0,50.0,60.0,50.0,57.14,11,8,20,11,5.33,3,3,2,2,1.81,1.83,3
2025-11-08,I1,Juventus,Torino,0,0,D,0,0,2025/2026,0,40.0,40.0,42.86,57.14,22,8,4,9,7.0,6,2,6,3,1.52,2.0,1
2025-11-30,I1,Lecce,Torino,2,1,H,2,0,2025/2026,1,40.0,60.0,42.86,57.14,10,15,22,16,2.7,6,6,2,6,3.15,22.0,3
2023-08-28,I1,Salernitana,Udinese,1,1,D,0,0,2023/2024,0,0.0,0.0,68.42,26.32,9,14,19,12,2.77,7,5,4,6,3.0,1.92,4
2023-09-17,I1,Cagliari,Udinese,0,0,D,0,0,2023/2024,0,0.0,0.0,63.16,26.32,10,11,11,12,2.7,4,6,1,1,3.17,1.87,1
2023-09-27,I1,Napoli,Udinese,4,1,H,2,0,2023/2024,1,66.67,33.33,63.16,26.32,23,13,10,11,9.0,8,4,10,3,1.45,2.05,1
2023-10-06,I1,Empoli,Udinese,0,0,D,0,0,2023/2024,0,0.0,25.0,31.58,26.32,18,11,15,11,2.65,5,7,3,1,3.26,2.07,2
2023-10-29,I1,Monza,Udinese,1,1,D,1,0,2023/2024,0,20.0,20.0,42.11,26.32,10,10,11,15,3.97,10,3,4,3,2.16,2.13,1
2023-11-04,I1,Milan,Udinese,0,1,A,0,0,2023/2024,0,20.0,20.0,52.63,26.32,14,12,14,13,8.3,11,5,5,2,1.47,1.86,2
2023-11-26,I1,Roma,Udinese,3,1,H,1,0,2023/2024,1,60.0,40.0,52.63,26.32,12,6,15,8,6.5,7,1,5,2,1.7,2.13,3
2023-12-09,I1,Inter,Udinese,4,0,H,3,0,2023/2024,1,60.0,40.0,52.63,26.32,17,11,6,9,15.0,6,1,8,1,1.29,1.88,1
2023-12-23,I1,Torino,Udinese,1,1,D,0,0,2023/2024,0,60.0,40.0,26.32,26.32,14,10,11,10,6.5,8,2,4,4,1.85,1.9,2
2024-01-14,I1,Fiorentina,Udinese,2,2,D,0,1,2023/2024,1,60.0,60.0,68.42,26.32,10,12,13,14,6.0,4,4,3,6,1.7,2.07,1
2024-01-27,I1,Atalanta,Udinese,2,0,H,2,0,2023/2024,0,60.0,60.0,68.42,26.32,14,13,11,8,7.5,4,4,11,5,1.55,2.06,1
2024-02-12,I1,Juventus,Udinese,0,1,A,0,1,2023/2024,0,20.0,40.0,26.32,26.32,14,8,10,15,9.13,8,4,6,1,1.5,1.92,3
2024-02-24,I1,Genoa,Udinese,2,0,H,2,0,2023/2024,0,40.0,20.0,42.11,26.32,19,5,17,9,3.49,8,3,4,1,2.56,1.96,4
2024-03-11,I1,Lazio,Udinese,1,2,A,0,0,2023/2024,1,40.0,40.0,26.32,26.32,18,14,15,9,4.76,9,5,6,5,1.94,1.99,6
2024-04-01,I1,Sassuolo,Udinese,1,1,D,1,1,2023/2024,0,40.0,20.0,47.37,26.32,14,12,10,7,2.7,10,1,5,3,2.99,1.85,2
2024-04-20,I1,Verona,Udinese,1,0,H,0,0,2023/2024,0,60.0,20.0,57.89,26.32,16,18,12,18,3.03,10,6,4,1,2.84,2.12,2
2024-04-28,I1,Bologna,Udinese,1,1,D,0,1,2023/2024,0,20.0,20.0,36.84,26.32,15,11,21,11,6.5,10,3,4,4,1.7,2.15,7
2024-05-13,I1,Lecce,Udinese,0,2,A,0,1,2023/2024,0,0.0,20.0,36.84,26.32,9,16,11,12,2.68,8,2,2,3,3.16,2.06,1
2024-05-26,I1,Frosinone,Udinese,0,1,A,0,0,2023/2024,0,60.0,0.0,73.68,26.32,21,10,13,6,3.16,11,1,5,5,2.63,1.85,2
2024-08-18,I1,Bologna,Udinese,1,1,D,0,0,2024/2025,0,0.0,0.0,47.37,47.37,22,4,13,15,4.25,7,5,7,2,2.15,1.96,4
2024-09-16,I1,Parma,Udinese,2,3,A,2,0,2024/2025,1,66.67,50.0,52.63,47.37,9,18,18,8,3.45,5,6,3,6,2.3,1.92,3
2024-09-22,I1,Roma,Udinese,3,0,H,1,0,2024/2025,1,100.0,66.67,52.63,47.37,14,9,11,15,5.3,2,1,6,3,1.73,2.1,2
2024-10-19,I1,Milan,Udinese,1,0,H,1,0,2024/2025,0,75.0,50.0,47.37,47.37,10,13,14,3,9.1,8,4,5,1,1.41,2.08,3
2024-10-30,I1,Venezia,Udinese,3,2,H,1,2,2024/2025,1,25.0,60.0,31.58,47.37,18,15,13,9,2.94,2,6,7,5,2.81,1.97,4
2024-11-10,I1,Atalanta,Udinese,2,1,H,0,1,2024/2025,1,80.0,80.0,52.63,47.37,11,11,12,10,8.25,4,5,4,6,1.5,2.07,1
2024-11-25,I1,Empoli,Udinese,1,1,D,1,0,2024/2025,0,20.0,60.0,36.84,47.37,4,16,13,8,2.9,1,8,2,3,3.23,1.96,2
2024-12-09,I1,Monza,Udinese,1,2,A,0,1,2024/2025,1,40.0,60.0,47.37,47.37,27,10,16,12,3.11,10,1,4,3,2.82,2.04,2
2024-12-23,I1,Fiorentina,Udinese,1,2,A,1,0,2024/2025,1,80.0,80.0,63.16,47.37,14,11,14,10,6.31,10,2,3,4,1.66,1.84,5
2025-01-04,I1,Verona,Udinese,0,0,D,0,0,2024/2025,0,60.0,60.0,57.89,47.37,13,15,16,14,2.64,7,3,3,6,3.33,2.15,2
2025-01-20,I1,Como,Udinese,4,1,H,2,0,2024/2025,1,40.0,60.0,47.37,47.37,11,6,16,10,3.76,3,2,8,2,2.22,2.09,4
2025-02-09,I1,Napoli,Udinese,1,1,D,1,1,2024/2025,0,20.0,60.0,47.37,47.37,18,8,10,11,8.51,6,6,4,4,1.49,1.89,1
2025-02-21,I1,Lecce,Udinese,0,1,A,0,1,2024/2025,0,40.0,40.0,42.11,47.37,10,12,11,15,2.75,11,8,1,5,3.15,1.85,3
2025-03-10,I1,Lazio,Udinese,1,1,D,1,1,2024/2025,0,60.0,20.0,63.16,47.37,10,15,11,9,5.2,4,9,5,4,1.9,1.95,4
