country,league,alert,verif,datameci,orameci,etapa,txtechipa1,place1,txtechipa2,place2,underprob,underoddsc,cotau,overprob,overoddsc,cotao,homeprob,homeoddsc,cotaa,drawprob,drawoddsc,cotae,awayprob,awayoddsc,cotad,score,validated,result,scor1,scor2,scorp1,scorp2,elohomeo,eloawayo,elodiff,totalgh,totalga,totaldiff,scoredh,scoreda,scodiff,receivedh,receiveda,recdiff,ggh,gga,ngh,nga,gh0,gh1,gh2,gh3,gh4,ga0,ga1,ga2,ga3,ga4,goalminh,goalmina,formah,formaa,codechipa1,codechipa2
England,Premier L,,,8/18/2018,1800,02,West Ham,20 (12),Bournemouth,6 (15),58.191,1.718,2.1,41.809,2.392,1.833,43.116,2.319,2.15,27.46,3.642,3.54,29.424,3.399,3.62,1-0 (13.54); 1-1 (12.48); 0-0 ( 9.87); 0-1 ( 9.10); 2-0 ( 8.01);,347,1-2 (1-0),1,2,1,0,1728,1746,-18,2.77,2.974,-0.204,1.277,1.278,-0.001,1.492,1.696,-0.204,54.45,57.391,45.55,42.609,26.6,36.5,21.6,11.5,3.4,37.1,34.2,19.5,7.2,2,,,0,0,01022,01063
England,Premier L,,,8/18/2018,1800,02,Tottenham,7 (7),Fulham,15 (9),38.638,2.588,2.68,61.362,1.63,1.515,74.287,1.346,1.279,15.931,6.277,6.39,9.782,10.223,11.87,2-0 (13.44); 1-0 (10.15); 2-1 ( 9.87); 3-0 ( 8.23); 4-0 ( 7.66);,171,3-1 (1-0),3,1,1,0,2028,1705,323,2.859,3.256,-0.398,1.801,1.026,0.775,1.058,2.231,-1.173,50.262,58.974,49.738,41.026,8,21.6,28.6,17.5,16.3,47,34.5,13.4,4.6,0.5,,,0,0,01001,01010
England,Premier L,,,8/18/2018,1800,02,Everton,9 (10),Southampton,11 (8),54.721,1.827,1.781,45.279,2.209,2.16,50.417,1.983,1.884,25.376,3.941,3.48,24.207,4.131,4.89,1-0 (13.74); 1-1 (11.19); 2-0 (10.02); 0-0 ( 8.69); 2-1 ( 8.16);,282,2-1 (2-0),2,1,2,0,1760,1674,86,2.743,2.455,0.288,1.445,1.283,0.162,1.298,1.173,0.126,51.309,45.55,48.691,54.45,21.5,34,24.8,13.8,3.9,40.4,32.9,18.7,5.6,2.4,,,0,0,01017,01004
England,Premier L,,,8/18/2018,2030,02,Chelsea,2 (11),Arsenal,16 (11),49.758,2.01,2.46,50.242,1.99,1.606,52.666,1.899,1.847,24.396,4.099,3.99,22.938,4.36,4.33,1-1 (11.94); 1-0 (11.07); 2-1 ( 9.18); 2-0 ( 8.51); 0-1 ( 7.60);,138,3-2 (2-2),3,2,2,2,1893,1837,56,2.806,2.958,-0.152,1.848,1.859,-0.01,0.958,1.099,-0.141,50.262,51.832,49.738,48.168,19.8,31.1,23.9,15.2,6.5,35.6,38.4,18.1,6.5,1.4,,,0,0,01019,01018
England,Premier L,,,8/19/2018,1630,02,Man City,3 (8),Huddersfield,19 (16),39.193,2.551,3.55,60.807,1.645,1.3,74.056,1.35,1.087,15.016,6.66,13.88,10.928,9.15,32.43,2-0 (12.40); 3-0 (12.40); 2-1 (12.35); 3-1 (12.35); 0-0 ( 8.48);,11,6-1 (3-1),6,1,3,1,2179,1589,590,3.277,2.282,0.995,2.325,0.718,1.607,0.953,1.564,-0.611,53.927,30.769,46.073,69.231,18.6,9,27.2,27.2,9,45.6,45.4,9,0,0,,,0,0,01009,01064
England,Premier L,,,8/19/2018,1630,02,Burnley,12 (13),Watford,5 (13),55.002,1.818,1.5,44.999,2.222,2.72,48.686,2.054,2.4,25.403,3.936,3.13,25.911,3.859,3.5,1-0 (12.98); 2-0 (10.63); 0-0 ( 9.93); 1-1 ( 9.61); 2-1 ( 7.87);,298,1-3 (1-1),1,3,1,1,1736,1673,63,2.174,2.678,-0.504,0.896,1.096,-0.2,1.278,1.583,-0.304,44.348,46.087,55.652,53.913,24.1,31.5,25.8,13.4,4,41.2,30.5,18.7,7,2.6,,,0,0,01030,01025
England,Premier L,,,8/19/2018,1900,02,Brighton,17 (14),Man Utd,8 (12),48.15,2.077,1.684,51.85,1.929,2.31,18.971,5.271,5.39,22.219,4.501,3.53,58.81,1.7,1.806,0-1 (12.67); 1-1 (10.76); 0-2 ( 9.57); 1-2 ( 8.13); 0-3 ( 7.40);,135,3-2 (3-1),3,2,3,1,1663,1998,-335,2.308,2.471,-0.164,0.872,1.565,-0.694,1.436,0.906,0.53,41.026,46.597,58.974,53.403,41.8,35.5,14,6.6,1.4,16.6,30.3,22.9,17.7,9.6,,90,0,0,01036,01020
England,Premier L,,,8/20/2018,2300,02,Crystal Palace,4 (9),Liverpool,1 (7),42.675,2.343,2.59,57.325,1.744,1.546,26.407,3.787,7.34,22.547,4.435,5.06,51.046,1.959,1.452,0-1 (10.14); 0-2 ( 9.16); 1-1 ( 9.00); 1-2 ( 8.13); 2-1 ( 6.84);,140,0-2 (0-1),0,2,0,1,1827,1989,-162,2.534,3.194,-0.66,1.131,2,-0.869,1.403,1.194,0.209,47.12,56.545,52.88,43.455,33.8,30,22.8,8.5,4.2,16.6,30,27.1,17.8,5.7,,90,0,0,01012,01002
England,Premier L,,,8/25/2018,1530,03,Wolves,14 (11),Man City,1 (4),41.938,2.384,2.62,58.062,1.722,1.537,11.739,8.519,12.53,17.565,5.693,6.71,70.696,1.415,1.26,0-2 (14.99); 0-1 (10.00); 1-2 ( 9.92); 0-3 ( 7.47); 0-4 ( 7.47);,19,1-1 (0-0),1,1,0,0,1643,2180,-537,3,3.297,-0.297,1,2.344,-1.344,2,0.953,1.047,50,54.167,50,45.833,47.6,31.5,15.7,5.2,0,10.9,21,31.5,15.7,15.7,,,0,0,01031,01009
England,Premier L,,,8/25/2018,1800,03,Southampton,12 (12),Leicester,8 (14),55.388,1.805,1.666,44.612,2.242,2.34,44.734,2.235,2.42,26.138,3.826,3.35,29.128,3.433,3.23,1-0 (13.15); 1-1 (10.79); 2-0 ( 9.55); 0-0 ( 9.32); 2-1 ( 7.84);,305,1-2 (0-0),1,2,0,0,1663,1729,-66,2.458,2.838,-0.379,1.281,1.435,-0.154,1.177,1.403,-0.226,45.833,54.545,54.167,45.455,24.6,34.7,25.2,11.1,2.9,37.9,31.1,20,8.1,2.9,,90,0,0,01004,01042
England,Premier L,,,8/25/2018,1800,03,Huddersfield,20 (20),Cardiff,16 (18),58.846,1.699,1.487,41.154,2.43,2.76,49.989,2,2.37,25.689,3.893,3.06,24.322,4.111,3.66,1-0 (16.02); 2-0 (14.00); 0-0 (11.11); 1-1 ( 7.63); 3-0 ( 6.97);,48,0-0 (0-0),0,0,0,0,1587,1626,-39,2.4,2.7,-0.3,0.725,0.8,-0.075,1.675,1.9,-0.225,32.5,40,67.5,60,23.1,33.3,29.1,14.5,0,48.1,22.9,20.8,6.2,2,,,0,0,01064,01039
England,Premier L,,,8/25/2018,1800,03,Arsenal,17 (19),West Ham,19 (19),53.541,1.868,2.64,46.459,2.152,1.529,52.982,1.887,1.389,25.015,3.998,5.41,22.004,4.545,8.56,1-0 (12.24); 1-1 (10.48); 2-0 ( 9.94); 0-0 ( 8.89); 2-1 ( 8.51);,231,3-1 (1-1),3,1,1,1,1825,1703,122,2.969,2.771,0.198,1.859,1.276,0.583,1.109,1.495,-0.385,52.083,54.688,47.917,45.313,22,30.3,24.6,15.5,4.7,40.4,34.6,19.9,4.7,0.4,90,,0,0,01018,01022
England,Premier L,,,8/25/2018,1800,03,Bournemouth,6 (6),Everton,7 (8),56.677,1.764,2.25,43.323,2.308,1.724,42.268,2.366,2.63,27.333,3.659,3.62,30.399,3.29,2.75,1-0 (14.00); 1-1 (13.49); 1-2 ( 8.70); 0-0 ( 8.56); 0-1 ( 8.25);,298,2-2 (0-0),2,2,0,0,1770,1770,0,2.974,2.745,0.229,1.284,1.448,-0.163,1.69,1.297,0.393,57.759,51.563,42.241,48.438,24.4,39.9,20.1,12,3,35.1,33.8,21.8,7,2,,,0,0,01063,01017
England,Premier L,,,8/25/2018,2030,03,Liverpool,2 (2),Brighton,11 (17),40.908,2.444,3.2,59.092,1.692,1.37,74.424,1.344,1.165,16.111,6.207,8.69,9.465,10.566,20.73,2-0 (14.09); 1-0 (10.96); 2-1 ( 9.51); 3-0 ( 8.43); 4-0 ( 7.89);,176,1-0 (1-0),1,0,1,0,2013,1694,319,3.188,2.375,0.813,2,0.925,1.075,1.188,1.45,-0.263,56.25,42.5,43.75,57.5,8.8,22.1,28.4,17,15.9,49.6,33.5,13,2.8,1.1,,,0,0,01002,01036
England,Premier L,,,8/26/2018,1630,03,Watford,4 (4),Crystal Palace,10 (5),56.212,1.779,1.854,43.788,2.284,2.07,39.36,2.541,2.57,27.342,3.657,3.36,33.298,3.003,2.98,1-1 (13.60); 1-0 (13.01); 0-1 ( 9.09); 0-0 ( 8.70); 1-2 ( 7.33);,288,2-1 (0-0),2,1,0,0,1716,1802,-86,2.69,2.531,0.158,1.112,1.125,-0.013,1.578,1.406,0.171,46.552,46.875,53.448,53.125,26.2,39.2,20.8,11.1,2.4,33.2,34.7,18.7,9.7,3.1,,,0,0,01025,01012
England,Premier L,,,8/26/2018,1900,03,Newcastle,13 (14),Chelsea,3 (1),47.776,2.093,2.11,52.224,1.915,1.819,26.365,3.793,6.42,24.451,4.09,4.16,49.184,2.033,1.598,1-1 (11.62); 0-1 (10.53); 1-0 ( 7.60); 1-2 ( 7.49); 0-0 ( 6.89);,193,1-2 (0-0),1,2,0,0,1736,1904,-168,2.617,2.818,-0.201,1.084,1.854,-0.77,1.532,0.964,0.569,44.156,50.521,55.844,49.479,32.8,36.2,20.7,9.3,1,21,32.1,20.7,17,7.7,,,0,0,01016,01019
England,Premier L,,,8/26/2018,1900,03,Fulham,18 (17),Burnley,15 (10),55.564,1.8,1.769,44.436,2.25,2.18,45.726,2.187,2.2,26.209,3.815,3.3,28.065,3.563,3.79,1-0 (13.22); 1-1 (11.10); 2-0 ( 9.53); 0-0 ( 9.18); 2-1 ( 8.00);,340,4-2 (3-2),4,2,3,2,1700,1692,8,3.275,2.19,1.085,1.025,0.897,0.128,2.25,1.293,0.957,60,44.828,40,55.172,24.1,34.7,25,11.4,3.5,38.1,32,20,7.3,2.6,,,0,0,01010,01030
England,Premier L,,,8/27/2018,2300,03,Man Utd,9 (10),Tottenham,5 (6),46.117,2.168,1.877,53.883,1.856,2.05,49.107,2.036,2.5,23,4.348,3.37,27.894,3.585,3.07,2-0 (11.62); 2-1 (10.19); 1-0 ( 9.28); 1-1 ( 8.14); 0-0 ( 7.08);,75,0-3 (0-0),0,3,0,0,1966,2032,-66,2.484,2.865,-0.38,1.568,1.807,-0.24,0.917,1.057,-0.141,46.875,50.521,53.125,49.479,20.3,26.6,33.3,10.6,5.3,34.9,30.6,18.6,14.6,0,,,0,0,01020,01001
England,Premier L,,,9/1/2018,1530,04,Leicester,7 (6),Liverpool,1 (5),46.055,2.171,2.38,53.945,1.854,1.645,17.257,5.795,7.93,21.19,4.719,5.14,61.554,1.625,1.425,0-1 (13.34); 1-1 (10.23); 0-2 ( 9.74); 0-3 ( 9.74); 1-2 ( 7.47);,167,1-2 (0-2),1,2,0,2,1750,2016,-266,2.839,3.176,-0.337,1.439,1.995,-0.556,1.4,1.181,0.219,54.839,55.959,45.161,44.041,42.9,32.9,17.9,4.1,1.7,13.6,31.1,22.7,22.7,7.1,,,0,0,01042,01002
England,Premier L,,,9/1/2018,1800,04,West Ham,20 (17),Wolves,14 (17),55.061,1.816,2.01,44.939,2.225,1.909,46.005,2.174,2.56,25.752,3.883,3.46,28.243,3.541,2.92,1-0 (12.25); 0-0 (10.35); 2-0 ( 9.91); 1-1 ( 9.27); 0-1 ( 7.83);,274,0-1 (0-0),0,1,0,0,1689,1660,29,2.777,2.667,0.111,1.275,1,0.275,1.503,1.667,-0.164,54.922,66.667,45.078,33.333,26.2,31,25.1,12.4,4,39.5,29.9,20.8,6.2,3.6,,90,0,0,01022,01031
England,Premier L,,,9/1/2018,1800,04,Crystal Palace,10 (20),Southampton,16 (15),55.157,1.813,1.757,44.843,2.23,2.2,52.711,1.897,2,24.962,4.006,3.49,22.326,4.479,4.26,1-0 (14.02); 2-0 (11.67); 1-1 ( 9.79); 0-0 ( 9.11); 2-1 ( 8.15);,204,0-2 (0-0),0,2,0,0,1782,1641,141,2.534,2.461,0.073,1.124,1.28,-0.155,1.409,1.181,0.228,47.15,46.114,52.85,53.886,21,32.3,26.9,13.2,5.3,43.4,30.3,20,4.4,1.9,,90,0,0,01012,01004
England,Premier L,,,9/1/2018,1800,04,Everton,8 (9),Huddersfield,19 (19),58.66,1.705,1.793,41.34,2.419,2.14,56.303,1.776,1.507,24.144,4.142,4.25,19.553,5.114,8.06,1-0 (17.11); 2-0 (13.10); 0-0 (11.13); 1-1 ( 8.65); 2-1 ( 6.63);,91,1-1 (1-1),1,1,1,1,1775,1583,192,2.751,2.341,0.41,1.451,0.707,0.743,1.301,1.634,-0.334,51.813,31.707,48.187,68.293,21.4,32.9,25.2,12,6.5,52,26.3,14.2,5.4,2.1,,,0,0,01017,01064
England,Premier L,,,9/1/2018,1800,04,Chelsea,3 (7),Bournemouth,6 (7),42.384,2.359,2.85,57.616,1.736,1.44,64.441,1.552,1.303,19.784,5.054,6.2,15.774,6.339,10.66,2-1 (10.92); 2-0 (10.36); 1-1 ( 9.49); 1-0 ( 9.00); 3-1 ( 6.71);,176,2-0 (0-0),2,0,0,0,1920,1764,156,2.819,2.983,-0.164,1.855,1.291,0.564,0.964,1.692,-0.729,50.777,58.12,49.223,41.88,14.6,23.2,26.7,16.4,13,38.8,40.9,13,6.2,1.1,,,0,0,01019,01063
