season,date,time,country,league,home,away,code_home,code_away,ft_home,ft_away,ht_home,ht_away,result,validated,elo_home,elo_away,elo_diff,p_home,p_draw,p_away,fair_home,fair_draw,fair_away,odds_home,odds_draw,odds_away,p_over,p_under,fair_over,fair_under,odds_over,odds_under,shots,shots_on_target,corners,possession_home,possession_away,form_home,form_away,home_bonus_elo,EloDiff,Band_H,Band_A,lg_avg_gf_home,lg_avg_gf_away,lg_avg_shots_home,lg_avg_shots_away,lg_avg_sot_home,lg_avg_sot_away,lg_avg_cor_home,lg_avg_cor_away,lg_avg_poss_home,lg_avg_poss_away,datetime,elo_home_calc,elo_away_calc,EloDiff_calc,Band_H_calc,Band_A_calc,home_name_calc,away_name_calc,shots_H,shots_A,sot_H,sot_A,corners_H,corners_A,pos_H,pos_A,_stats_src,pressure_usable,xg_usable,xg_proxy_H,xg_proxy_A,shot_quality_H,shot_quality_A,finishing_luck_H,finishing_luck_A,datameci,txtechipa1,txtechipa2,cotaa,cotae,cotad,cotao,cotau,sezonul
2025-2026,9/13/2025,1530,England,Premier L,Arsenal,Nottingham,1018,1037,3,0,1,0,3-0 (1-0),376,1774.1785976632902,1566.6418544501012,207.53674321318908,67.927,18.707,13.365,1.472,5.346,7.482,1.37,5.37,8.33,58.761,41.239,1.702,2.425,1.68,2.27,16- 5, 5- 1, 8- 3,54.0,46.0,0,0,50.23077432593951,272.5367432131891,BULLY,DOG,1.411764705882353,1.076470588235294,11.7,9.523529411764706,4.041176470588235,3.264705882352941,4.758823529411765,4.005882352941176,44.72941176470588,43.50588235294118,2025-09-13,1774.1785976632902,1566.6418544501012,272.5367432131891,BULLY,DOG,Arsenal,Nottingham,16.0,5.0,5.0,1.0,8.0,3.0,54.0,46.0,code,1,1,1.717106546002222,0.5801603308294553,0.1073191591251388,0.116032066165891,1.282893453997778,-0.5801603308294553,9/13/2025,Arsenal,Nottingham,1.37,5.37,8.33,1.68,2.27,2025-2026
2025-2026,9/13/2025,1800,England,Premier L,Bournemouth,Brighton,1063,1036,2,1,1,0,2-1 (1-0),663,1589.3196798922388,1600.5745401495376,-11.254860257298787,42.135,26.151,31.715,2.373,3.824,3.153,2.39,3.58,2.98,48.552,51.448,2.06,1.944,1.7,2.24,13- 6, 5- 2, 4- 4,51.0,49.0,0,0,50.23077432593951,53.74513974270121,PEER,PEER,1.411764705882353,1.076470588235294,11.7,9.523529411764706,4.041176470588235,3.264705882352941,4.758823529411765,4.005882352941176,44.72941176470588,43.50588235294118,2025-09-13,1589.3196798922388,1600.5745401495376,53.74513974270121,PEER,PEER,Bournemouth,Brighton,13.0,6.0,5.0,2.0,4.0,4.0,51.0,49.0,code,1,1,1.8810376862078293,0.8372210424219162,0.1446952066313714,0.1395368404036527,0.1189623137921707,0.1627789575780838,9/13/2025,Bournemouth,Brighton,2.39,3.58,2.98,1.7,2.24,2025-2026
2025-2026,9/13/2025,1800,England,Premier L,C Palace,Sunderland,1012,1021,0,0,0,0,0-0 (0-0),12,1635.4906999412117,1506.2803412643527,129.21035867685873,85.408,10.425,4.167,1.171,9.592,24.0,1.7,3.75,5.53,64.467,35.533,1.551,2.814,2.21,1.72,14- 6, 6- 0, 5- 3,56.0,44.0,0,0,50.23077432593951,194.2103586768588,BULLY,DOG,1.411764705882353,1.076470588235294,11.7,9.523529411764706,4.041176470588235,3.264705882352941,4.758823529411765,4.005882352941176,44.72941176470588,43.50588235294118,2025-09-13,1635.4906999412117,1506.2803412643527,194.2103586768588,BULLY,DOG,C Palace,Sunderland,14.0,6.0,6.0,0.0,5.0,3.0,56.0,44.0,code,1,1,2.3278439723388704,0.4626216111986541,0.1662745694527764,0.0771036018664423,-2.3278439723388704,-0.4626216111986541,9/13/2025,C Palace,Sunderland,1.7,3.75,5.53,2.21,1.72,2025-2026
2025-2026,9/13/2025,1800,England,Premier L,Everton,Aston Villa,1017,1003,0,0,0,0,0-0 (0-0),703,1573.6514295715654,1610.0519732555686,-36.4005436840032,45.205,25.837,28.958,2.212,3.87,3.453,2.43,3.45,3.02,47.828,52.172,2.091,1.917,2.0,1.89,20- 7, 2- 1,10- 3,48.0,52.0,0,0,50.23077432593951,28.599456315996804,PEER,PEER,1.411764705882353,1.076470588235294,11.7,9.523529411764706,4.041176470588235,3.264705882352941,4.758823529411765,4.005882352941176,44.72941176470588,43.50588235294118,2025-09-13,1573.6514295715654,1610.0519732555686,28.599456315996804,PEER,PEER,Everton,Aston Villa,20.0,7.0,2.0,1.0,10.0,3.0,48.0,52.0,code,1,1,0.5788789081531732,0.4355925808366299,0.0289439454076586,0.0622275115480899,-0.5788789081531732,-0.4355925808366299,9/13/2025,Everton,Aston Villa,2.43,3.45,3.02,2.0,1.89,2025-2026
2025-2026,9/13/2025,1800,England,Premier L,Fulham,Leeds,1010,1035,1,0,0,0,1-0 (0-0),718,1538.9067913534232,1407.4432460485054,131.46354530491772,44.053,25.482,30.465,2.27,3.924,3.282,1.97,3.55,4.09,48.312,51.688,2.07,1.935,2.07,1.83, 5-10, 3- 3, 3- 3,54.0,46.0,0,0,50.23077432593951,196.4635453049177,BULLY,DOG,1.411764705882353,1.076470588235294,11.7,9.523529411764706,4.041176470588235,3.264705882352941,4.758823529411765,4.005882352941176,44.72941176470588,43.50588235294118,2025-09-13,1538.9067913534232,1407.4432460485054,196.4635453049177,BULLY,DOG,Fulham,Leeds,5.0,10.0,3.0,3.0,3.0,3.0,54.0,46.0,code,1,1,1.2500203139175827,1.2718481610271934,0.2500040627835165,0.1271848161027193,-0.2500203139175827,-1.2718481610271934,9/13/2025,Fulham,Leeds,1.97,3.55,4.09,2.07,1.83,2025-2026
2025-2026,9/13/2025,1800,England,Premier L,Newcastle,Wolves,1016,1031,1,0,1,0,1-0 (1-0),423,1635.8638373586175,1470.014512125793,165.8493252328244,56.472,23.105,20.424,1.771,4.328,4.896,1.4,5.07,7.77,50.483,49.517,1.981,2.02,1.76,2.13,16- 8, 4- 3, 9- 4,57.0,43.0,0,0,50.23077432593951,230.8493252328244,BULLY,DOG,1.411764705882353,1.076470588235294,11.7,9.523529411764706,4.041176470588235,3.264705882352941,4.758823529411765,4.005882352941176,44.72941176470588,43.50588235294118,2025-09-13,1635.8638373586175,1470.014512125793,230.8493252328244,BULLY,DOG,Newcastle,Wolves,16.0,8.0,4.0,3.0,9.0,4.0,57.0,43.0,code,1,1,1.1851199508096608,0.900124888055084,0.0740699969256038,0.1125156110068855,-0.1851199508096608,-0.900124888055084,9/13/2025,Newcastle,Wolves,1.4,5.07,7.77,1.76,2.13,2025-2026
2025-2026,9/13/2025,2030,England,Premier L,West Ham,Tottenham,1022,1001,0,3,0,0,0-3 (0-0),422,1500.664580732117,1522.4207874480092,-21.756206715892176,41.894,25.487,32.62,2.387,3.924,3.066,3.58,3.63,2.09,48.842,51.158,2.047,1.955,1.81,2.08, 7-14, 4- 5, 2-13,36.0,64.0,0,0,50.23077432593951,43.243793284107824,PEER,PEER,1.411764705882353,1.076470588235294,11.7,9.523529411764706,4.041176470588235,3.264705882352941,4.758823529411765,4.005882352941176,44.72941176470588,43.50588235294118,2025-09-13,1500.664580732117,1522.4207874480092,43.243793284107824,PEER,PEER,West Ham,Tottenham,7.0,14.0,4.0,5.0,2.0,13.0,36.0,64.0,code,1,1,1.3589771695999595,1.8146928318802151,0.194139595657137,0.1296209165628725,-1.3589771695999595,1.1853071681197849,9/13/2025,West Ham,Tottenham,3.58,3.63,2.09,1.81,2.08,2025-2026
2025-2026,9/13/2025,2300,England,Premier L,Brentford,Chelsea,1059,1019,2,2,1,0,2-2 (1-0),469,1565.8050400730751,1678.3132644466205,-112.50822437354532,33.383,25.596,41.022,2.996,3.907,2.438,4.49,3.85,1.81,50.502,49.498,1.98,2.02,1.74,2.17, 7-16, 4- 6, 5- 6,34.0,66.0,0,0,50.23077432593951,-47.50822437354532,PEER,PEER,1.411764705882353,1.076470588235294,11.7,9.523529411764706,4.041176470588235,3.264705882352941,4.758823529411765,4.005882352941176,44.72941176470588,43.50588235294118,2025-09-13,1565.8050400730751,1678.3132644466205,-47.50822437354532,PEER,PEER,Brentford,Chelsea,7.0,16.0,4.0,6.0,5.0,6.0,34.0,66.0,code,1,1,1.2763004872067418,2.236745979151024,0.1823286410295345,0.139796623696939,0.7236995127932582,-0.2367459791510242,9/13/2025,Brentford,Chelsea,4.49,3.85,1.81,1.74,2.17,2025-2026
