season,date,time,country,league,home,away,code_home,code_away,ft_home,ft_away,ht_home,ht_away,result,validated,elo_home,elo_away,elo_diff,p_home,p_draw,p_away,fair_home,fair_draw,fair_away,odds_home,odds_draw,odds_away,p_over,p_under,fair_over,fair_under,odds_over,odds_under,shots,shots_on_target,corners,possession_home,possession_away,form_home,form_away,home_bonus_elo,EloDiff,Band_H,Band_A,lg_avg_gf_home,lg_avg_gf_away,lg_avg_shots_home,lg_avg_shots_away,lg_avg_sot_home,lg_avg_sot_away,lg_avg_cor_home,lg_avg_cor_away,lg_avg_poss_home,lg_avg_poss_away,datetime,elo_home_calc,elo_away_calc,EloDiff_calc,Band_H_calc,Band_A_calc,home_name_calc,away_name_calc,shots_H,shots_A,sot_H,sot_A,corners_H,corners_A,pos_H,pos_A,_stats_src,pressure_usable,xg_usable,xg_proxy_H,xg_proxy_A,shot_quality_H,shot_quality_A,finishing_luck_H,finishing_luck_A
2018-2019,8/18/2018,1530,England,Premier L,Cardiff,Newcastle,1039,1016,0,0,0,0,0-0 (0-0),204,1487.77398691753,1488.1506753883134,-0.3766884707833924,44.541,25.941,29.519,2.245,3.855,3.388,3.33,3.18,2.46,44.898,55.102,2.227,1.815,2.61,1.54,,,,,,0,0,47.67456308768347,64.62331152921661,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-18,1487.77398691753,1488.1506753883134,64.62331152921661,PEER,PEER,Cardiff,Newcastle,,,,,,,,,none,0,0,,,,,,
2018-2019,8/18/2018,1800,England,Premier L,West Ham,Bournemouth,1022,1063,1,2,1,0,1-2 (1-0),347,1511.8493246116866,1482.22601308247,29.623311529216608,43.116,27.46,29.424,2.319,3.642,3.399,2.15,3.54,3.62,41.809,58.191,2.392,1.718,1.833,2.1,,,,,,0,0,47.67456308768347,94.6233115292166,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-18,1511.8493246116866,1482.22601308247,94.6233115292166,PEER,PEER,West Ham,Bournemouth,,,,,,,,,none,0,0,,,,,,
2018-2019,8/18/2018,1800,England,Premier L,Leicester,Wolves,1042,1031,2,0,2,0,2-0 (2-0),280,1501.8493246116866,1498.1506753883134,3.698649223373195,47.312,25.99,26.698,2.114,3.848,3.746,2.08,3.52,3.84,43.701,56.299,2.288,1.776,2.07,1.854,,,,,,0,0,47.67456308768347,68.6986492233732,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-18,1501.8493246116866,1498.1506753883134,68.6986492233732,PEER,PEER,Leicester,Wolves,,,,,,,,,none,0,0,,,,,,
2018-2019,8/18/2018,1800,England,Premier L,Everton,Southampton,1017,1004,2,1,2,0,2-1 (2-0),282,1484.7174836469123,1512.22601308247,-27.508529435557648,50.417,25.376,24.207,1.983,3.941,4.131,1.884,3.48,4.89,45.279,54.721,2.209,1.827,2.16,1.781,,,,,,0,0,47.67456308768347,37.49147056444235,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-18,1484.7174836469123,1512.22601308247,37.49147056444235,PEER,PEER,Everton,Southampton,,,,,,,,,none,0,0,,,,,,
2018-2019,8/18/2018,1800,England,Premier L,Tottenham,Fulham,1001,1010,3,1,1,0,3-1 (1-0),171,1491.8493246116866,1498.1506753883134,-6.301350776626805,74.287,15.931,9.782,1.346,6.277,10.223,1.279,6.39,11.87,61.362,38.638,1.63,2.588,1.515,2.68,,,,,,0,0,47.67456308768347,58.6986492233732,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-18,1491.8493246116866,1498.1506753883134,58.6986492233732,PEER,PEER,Tottenham,Fulham,,,,,,,,,none,0,0,,,,,,
2018-2019,8/18/2018,2030,England,Premier L,Chelsea,Arsenal,1019,1018,3,2,2,2,3-2 (2-2),138,1520.7363180704515,1482.22601308247,38.510304987981726,52.666,24.396,22.938,1.899,4.099,4.36,1.847,3.99,4.33,50.242,49.758,1.99,2.01,1.606,2.46,,,,,,0,0,47.67456308768347,103.51030498798173,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-18,1520.7363180704515,1482.22601308247,103.51030498798173,PEER,PEER,Chelsea,Arsenal,,,,,,,,,none,0,0,,,,,,
2018-2019,8/19/2018,1630,England,Premier L,Man City,Huddersfield,1009,1064,6,1,3,1,6-1 (3-1),11,1517.77398691753,1479.2636819295485,38.510304987981726,74.056,15.016,10.928,1.35,6.66,9.15,1.087,13.88,32.43,60.807,39.193,1.645,2.551,1.3,3.55,,,,,,0,0,47.67456308768347,103.51030498798173,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-19,1517.77398691753,1479.2636819295485,103.51030498798173,PEER,PEER,Man City,Huddersfield,,,,,,,,,none,0,0,,,,,,
2018-2019,8/19/2018,1630,England,Premier L,Burnley,Watford,1030,1025,1,3,1,1,1-3 (1-1),298,1501.8493246116866,1512.22601308247,-10.376688470783392,48.686,25.403,25.911,2.054,3.936,3.859,2.4,3.13,3.5,44.999,55.002,2.222,1.818,2.72,1.5,,,,,,0,0,47.67456308768347,54.62331152921661,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-19,1501.8493246116866,1512.22601308247,54.62331152921661,PEER,PEER,Burnley,Watford,,,,,,,,,none,0,0,,,,,,
2018-2019,8/19/2018,1900,England,Premier L,Brighton,Man Utd,1036,1020,3,2,3,1,3-2 (3-1),135,1487.77398691753,1508.1506753883134,-20.376688470783392,18.971,22.219,58.81,5.271,4.501,1.7,5.39,3.53,1.806,51.85,48.15,1.929,2.077,2.31,1.684,,,,,,0,0,47.67456308768347,44.62331152921661,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-19,1487.77398691753,1508.1506753883134,44.62331152921661,PEER,PEER,Brighton,Man Utd,,,,,,,,,none,0,0,,,,,,
2018-2019,8/20/2018,2300,England,Premier L,C Palace,Liverpool,1012,1002,0,2,0,1,0-2 (0-1),140,1517.77398691753,1515.2825163530877,2.491470564442352,26.407,22.547,51.046,3.787,4.435,1.959,7.34,5.06,1.452,57.325,42.675,1.744,2.343,1.546,2.59,,,,,,0,0,47.67456308768347,67.49147056444235,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-20,1517.77398691753,1515.2825163530877,67.49147056444235,PEER,PEER,C Palace,Liverpool,,,,,,,,,none,0,0,,,,,,
2018-2019,8/25/2018,1530,England,Premier L,Wolves,Man City,1031,1009,1,1,0,0,1-1 (0-0),19,1485.6610600399454,1531.9857063289112,-46.32464628896582,11.739,17.565,70.696,8.519,5.693,1.415,12.53,6.71,1.26,58.062,41.938,1.722,2.384,1.537,2.62,,,,,,0,0,47.67456308768347,18.675353711034177,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-25,1485.6610600399454,1531.9857063289112,18.675353711034177,PEER,PEER,Wolves,Man City,,,,,,,,,none,0,0,,,,,,
2018-2019,8/25/2018,1800,England,Premier L,Huddersfield,Cardiff,1064,1039,0,0,0,0,0-0 (0-0),48,1475.1201533767794,1473.642561413656,1.4775919631233592,49.989,25.689,24.322,2.0,3.893,4.111,2.37,3.06,3.66,41.154,58.846,2.43,1.699,2.76,1.487,,,,,,0,0,47.67456308768347,66.47759196312336,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-25,1475.1201533767794,1473.642561413656,66.47759196312336,PEER,PEER,Huddersfield,Cardiff,,,,,,,,,none,0,0,,,,,,
2018-2019,8/25/2018,1800,England,Premier L,Southampton,Leicester,1004,1042,1,2,0,0,1-2 (0-0),305,1523.3009353157263,1509.8973909875078,13.40354432821846,44.734,26.138,29.128,2.235,3.826,3.433,2.42,3.35,3.23,44.612,55.388,2.242,1.805,2.34,1.666,,,,,,0,0,47.67456308768347,78.40354432821846,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-25,1523.3009353157263,1509.8973909875078,78.40354432821846,PEER,PEER,Southampton,Leicester,,,,,,,,,none,0,0,,,,,,
2018-2019,8/25/2018,1800,England,Premier L,Bournemouth,Everton,1063,1017,2,2,0,0,2-2 (0-0),298,1465.051962518167,1485.9351355719891,-20.88317305382202,42.268,27.333,30.399,2.366,3.659,3.29,2.63,3.62,2.75,43.323,56.677,2.308,1.764,1.724,2.25,,,,,,0,0,47.67456308768347,44.11682694617798,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-25,1465.051962518167,1485.9351355719891,44.11682694617798,PEER,PEER,Bournemouth,Everton,,,,,,,,,none,0,0,,,,,,
