team,availability_index
Alaves,1.0
Almeria,1.0
Ath Bilbao,1.0
Ath Madrid,1.0
Barcelona,1.0
Betis,1.0
Cadiz,1.0
Celta,1.0
Elche,1.0
Espanol,1.0
Getafe,1.0
Girona,1.0
Granada,1.0
Las Palmas,1.0
Leganes,1.0
Levante,1.0
Mallorca,1.0
Osasuna,1.0
Oviedo,1.0
Real Madrid,1.0
Sevilla,1.0
Sociedad,1.0
Valencia,1.0
Valladolid,1.0
Vallecano,1.0
Villarreal,1.0
