league,tip,totalgames,totalgoals,m0005,m0610,m1115,m1620,m2125,m2630,m3135,m3640,m4145,m4650,m5155,m5660,m6165,m6670,m7175,m7680,m8185,m8690
Torino,Sc,210,234,7,11,6,11,10,12,10,10,23,10,10,13,13,23,7,16,12,30
Udinese,Sc,210,250,11,9,8,10,16,13,9,16,24,15,15,11,7,16,14,12,13,31
Avellino,Sc,19,23,0,2,0,1,0,1,4,2,2,1,2,1,1,4,0,0,0,2
Bari 1908,Sc,133,153,5,9,3,6,5,11,10,6,20,6,9,8,5,10,6,10,5,19
Carrarese,Sc,57,64,4,3,2,3,1,3,1,1,10,5,3,3,3,1,7,4,3,7
Catanzaro,Sc,95,136,8,3,5,7,4,9,4,5,13,8,15,8,6,9,8,7,6,11
Cesena,Sc,57,71,2,1,5,1,2,3,5,5,10,4,8,5,3,4,2,5,3,3
Empoli,Sc,209,243,12,8,13,9,11,10,14,10,17,12,9,15,16,16,17,8,11,35
Entella,Sc,57,47,1,1,1,1,2,3,4,3,5,4,2,3,0,0,5,3,3,6
Frosinone,Sc,209,276,4,10,11,9,12,13,16,24,20,21,8,20,15,14,20,19,15,25
Mantova,Sc,56,62,2,3,1,3,4,3,2,2,5,4,5,4,1,2,1,4,5,11
Modena,Sc,132,162,8,4,4,10,9,10,10,7,15,8,8,12,9,9,5,5,9,20
Monza,Sc,209,253,6,14,10,17,10,11,13,11,19,12,18,11,15,14,7,7,17,41
Padova,Sc,18,17,0,1,0,1,1,1,1,1,0,1,2,1,1,1,2,1,1,1
Palermo,Sc,132,190,8,6,6,12,9,12,12,13,18,12,7,11,10,5,8,10,13,18
Pescara,Sc,57,54,3,3,2,2,2,0,3,4,4,2,1,0,3,3,6,3,0,13
Reggiana,Sc,132,134,5,5,13,4,6,5,5,5,10,10,10,8,12,8,4,5,8,11
Sampdoria,Sc,209,232,6,8,12,15,18,9,16,13,15,8,11,11,15,14,9,17,18,17
Spezia,Sc,209,237,3,12,13,17,8,11,18,14,16,8,12,11,16,11,19,6,10,32
Stabia,Sc,57,63,2,3,4,4,8,3,1,4,6,5,3,3,4,2,2,2,4,3
Sudtirol,Sc,133,152,3,12,6,5,7,10,5,8,7,5,11,10,8,7,12,11,10,15
Venezia,Sc,209,273,13,6,12,19,7,12,16,13,23,13,13,23,11,16,16,17,16,27
Alaves,Sc,171,157,10,12,10,7,7,2,4,8,10,6,10,10,7,10,6,12,9,17
Atletico,Sc,209,374,16,17,13,18,17,20,7,16,30,23,19,19,19,23,18,27,16,56
Barcelona,Sc,209,457,9,17,32,19,26,21,24,22,35,24,19,27,32,20,24,17,30,59
Betis,Sc,209,294,8,21,14,15,13,10,10,15,29,9,20,10,16,20,16,17,19,32
Bilbao,Sc,209,268,15,19,8,10,12,16,16,8,24,6,11,14,15,19,14,24,10,27
Celta Vigo,Sc,208,270,4,12,14,12,18,10,14,17,25,10,17,13,17,17,15,11,16,28
Elche,Sc,133,129,5,6,8,6,4,4,4,8,10,6,8,7,9,8,7,5,10,14
Espanyol,Sc,132,154,2,6,6,7,4,5,3,9,14,10,14,8,12,5,12,7,9,21
FC Sevilla,Sc,208,267,10,17,14,9,16,15,10,13,21,9,19,12,10,12,13,9,19,39
Getafe,Sc,209,186,10,10,9,8,6,8,8,13,15,6,12,8,9,7,11,8,10,28
Girona,Sc,133,205,6,8,7,10,12,7,11,15,17,6,12,12,13,8,13,12,10,26
Levante,Sc,93,117,4,4,5,4,8,8,4,6,9,5,10,7,3,6,3,9,7,15
Mallorca,Sc,170,161,4,5,10,10,8,8,5,4,12,9,5,12,9,7,8,7,10,28
Osasuna,Sc,209,222,3,20,10,9,10,13,6,16,15,10,11,11,12,11,13,14,10,28
Oviedo,Sc,19,9,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,1,2
Real Madrid,Sc,209,428,14,13,22,22,17,15,20,28,33,23,19,21,21,28,25,23,27,57
Real Sociedad,Sc,209,260,17,10,10,10,12,12,21,11,17,13,16,16,9,16,12,11,16,31
Valencia,Sc,209,242,10,8,11,9,11,16,6,13,17,12,16,19,17,11,15,8,10,33
Vallecano,Sc,170,168,12,9,2,14,6,7,3,10,19,4,8,8,16,7,4,16,10,13
Villarreal,Sc,208,355,12,19,15,22,11,20,14,21,29,19,20,18,23,19,14,16,14,49
AS Monaco,Sc,199,369,14,18,10,18,18,22,15,11,33,22,30,23,32,15,16,20,17,35
Angers,Sc,203,223,9,12,7,10,12,12,11,13,16,10,15,15,8,11,5,9,9,39
Auxerre,Sc,203,294,14,15,11,14,15,12,21,23,18,11,11,17,21,14,22,13,14,28
Brestois,Sc,199,271,8,15,14,12,13,19,20,9,19,14,15,18,13,17,10,14,11,30
Le Havre,Sc,199,211,8,15,8,11,10,6,8,6,17,11,10,13,14,15,11,11,11,26
Lens,Sc,199,303,11,8,16,15,18,19,19,19,20,14,15,22,16,10,13,21,13,34
Lille,Sc,199,314,8,16,11,15,17,12,17,17,31,12,16,18,10,15,11,21,15,52
Lorient,Sc,199,268,9,18,9,11,12,9,13,10,23,8,20,13,16,14,15,17,15,36
Lyon,Sc,199,351,10,9,8,9,25,19,19,22,27,13,21,17,19,19,22,25,26,41
Metz,Sc,199,257,9,10,14,13,15,18,11,10,18,13,12,11,11,11,19,13,15,34
Nantes,Sc,199,224,10,8,14,12,8,9,9,16,14,17,14,8,11,10,11,13,17,23
Nice,Sc,199,276,12,13,14,14,12,16,13,16,18,11,21,12,15,10,21,16,14,28
Ol. Marseille,Sc,199,346,14,11,10,15,16,14,19,18,31,15,21,24,18,18,25,21,25,31
PSG,Sc,199,475,15,30,17,26,27,30,24,27,27,21,31,27,20,27,15,21,23,67
Paris,Sc,203,278,5,15,21,12,7,13,18,11,14,15,13,20,17,12,15,20,18,32
Rennes,Sc,199,336,10,11,22,19,27,9,15,15,18,16,23,21,13,19,16,21,19,42
Strasbourg,Sc,199,280,10,7,8,14,12,24,10,10,25,15,16,13,13,18,16,17,18,34
Toulouse,Sc,199,314,11,14,18,7,12,19,19,14,15,19,24,15,19,21,15,15,22,35
Amiens,Sc,204,213,1,11,11,7,9,12,8,15,16,8,12,19,7,5,17,13,14,28
Annecy,Sc,128,152,13,13,5,13,1,11,5,3,8,6,11,5,13,7,8,5,9,16
Bastia,Sc,165,186,8,5,13,8,14,8,9,11,10,9,11,13,7,15,10,9,7,19
Boulogne,Sc,18,18,0,1,1,0,1,0,1,0,1,1,0,0,1,4,0,3,2,2
Clermont,Sc,200,220,6,16,15,6,6,11,14,7,16,10,20,16,19,11,6,8,9,24
Dunkerque,Sc,166,177,6,11,3,7,10,5,13,4,14,11,16,10,14,12,10,6,14,11
Grenoble,Sc,204,221,7,10,6,11,8,9,16,11,19,11,9,10,13,11,11,17,17,25
Guingamp,Sc,204,273,16,9,10,12,13,10,16,14,19,11,21,23,7,14,15,16,13,34
Laval,Sc,128,142,5,12,8,10,2,9,11,5,8,4,7,12,5,9,3,7,9,16
Le Mans,Sc,18,22,0,0,0,2,1,2,0,4,1,0,1,0,3,1,0,1,1,5
Montpellier,Sc,200,259,10,13,16,13,8,15,8,13,16,16,13,17,17,12,13,16,14,29
Nancy,Sc,93,102,5,5,6,6,5,6,4,1,7,7,7,6,7,4,6,9,2,9
Pau,Sc,204,248,10,12,10,13,10,11,12,17,13,10,14,22,6,14,12,20,13,29
Red Star,Sc,51,58,5,2,5,1,4,2,7,2,3,5,4,2,3,1,3,1,3,5
Reims,Sc,200,239,6,19,14,9,20,14,12,10,18,10,14,16,8,8,11,11,14,25
Rodez,Sc,203,247,9,13,10,9,10,10,13,9,14,13,16,12,18,17,12,22,8,32
Saint-Etienne,Sc,204,269,10,12,14,13,15,12,15,15,21,13,17,12,13,13,13,20,15,26
Troyes,Sc,203,251,5,11,20,12,10,11,11,15,20,17,14,7,15,8,20,15,10,30
1. FSV Mainz 05,Sc,186,252,11,7,17,8,18,12,13,20,20,10,14,15,10,11,13,16,12,25
Augsburg,Sc,185,219,13,10,8,10,11,13,13,9,15,9,19,12,14,6,6,14,14,23
B. Monchengladbach,Sc,185,299,12,14,21,11,12,23,19,16,21,10,13,21,14,12,19,19,13,29
B. Munich,Sc,185,536,17,22,31,27,26,29,35,32,48,18,25,29,34,25,30,21,30,57
Berlin,Sc,185,241,13,17,7,11,12,11,10,9,20,15,12,9,16,11,17,10,14,27
Bremen,Sc,151,207,8,13,11,7,9,12,2,11,10,10,7,11,12,11,11,16,11,35
Dortmund,Sc,186,411,13,17,13,16,19,27,30,19,32,14,24,18,14,23,32,25,28,47
FC Koln,Sc,152,187,7,9,5,10,8,5,12,10,11,11,15,9,12,4,4,11,15,29
Frankfurt,Sc,186,324,4,14,17,11,28,21,24,18,19,14,21,15,24,14,27,11,11,31
Freiburg,Sc,186,282,13,17,12,12,7,18,13,18,18,20,20,17,18,15,15,14,12,23
Hamburg,Sc,16,17,0,2,0,2,0,0,0,0,1,2,1,1,3,0,1,0,2,2
Heidenheim,Sc,84,102,2,3,7,6,2,6,2,4,5,4,4,6,8,10,6,6,9,12
Hoffenheim,Sc,185,299,11,14,11,13,17,12,15,17,28,20,15,15,16,11,16,18,13,37
Leipzig,Sc,185,356,9,16,22,17,17,17,18,16,30,24,22,24,18,23,18,20,18,27
Leverkusen,Sc,186,385,14,22,20,23,19,20,22,16,27,13,24,22,18,24,21,17,19,44
St. Pauli,Sc,49,41,1,1,1,4,3,1,4,1,2,1,3,2,0,1,2,3,3,8
Stuttgart,Sc,186,313,8,14,14,23,13,11,10,12,25,14,15,19,23,10,17,27,18,40
Wolfsburg,Sc,185,281,19,20,15,9,15,18,15,14,20,14,12,18,13,14,9,11,19,26
Alkmaar,Sc,187,367,17,15,22,20,18,17,23,17,29,23,14,20,16,20,21,17,19,39
Almelo,Sc,153,184,8,7,6,7,4,8,7,10,16,9,10,14,12,12,15,11,8,20
Amsterdam,Sc,187,459,13,22,21,26,24,22,25,30,31,12,22,30,26,24,23,27,28,53
Breda,Sc,52,50,2,2,3,6,2,1,3,3,1,2,4,5,1,0,3,1,3,8
Eindhoven,Sc,188,520,13,26,31,27,26,36,23,30,23,29,42,31,26,24,28,26,28,51
Enschede,Sc,188,327,21,13,22,17,19,8,12,20,25,14,15,16,20,14,15,25,20,31
