date,home,away,market,outcome,prob,odds,edge,EV
2025-09-12 14:00:00,Arsenal,Nott'm Forest,OU 3.5,Under,0.6914221222375195,1.9,0.19142212223751953,0.3137020322512871
2025-09-14 18:30:00,Man City,Man United,OU 3.5,Under,0.6698124515723747,1.9,0.16981245157237468,0.2726436579875118
2025-09-14 16:00:00,Burnley,Liverpool,OU 1.5,Over,0.6683609175248872,1.9,0.16836091752488724,0.26988574329728565
2025-09-12 14:00:00,Everton,Aston Villa,OU 1.5,Over,0.6623812841717264,1.9,0.16238128417172637,0.25852443992628005
2025-09-14 16:00:00,Burnley,Liverpool,TG Interval,3-6,0.40702468525181584,3.0,0.07369135191848253,0.22107405575544758
2025-09-12 14:00:00,Fulham,Leeds,TG Interval,2-5,0.40547839415162484,3.0,0.07214506081829153,0.21643518245487448
2025-09-12 19:45:00,West Ham,Tottenham,OU 1.5,Over,0.6358915630934192,1.9,0.1358915630934192,0.2081939698774964
2025-09-12 14:00:00,Everton,Aston Villa,TG Interval,3-6,0.4014278850165201,3.0,0.06809455168318679,0.20428365504956036
2025-09-12 14:00:00,Bournemouth,Brighton,OU 3.5,Under,0.6296373371058392,1.9,0.12963733710583925,0.19631094050109454
2025-09-12 14:00:00,Crystal Palace,Sunderland,OU 1.5,Over,0.6295675563253872,1.9,0.1295675563253872,0.1961783570182356
2025-09-12 22:00:00,Brentford,Chelsea,OU 3.5,Under,0.6234688725808482,1.9,0.12346887258084815,0.18459085790361152
2025-09-12 14:00:00,Fulham,Leeds,TG Interval,2-4,0.3846303300841168,3.0,0.051296996750783475,0.15389099025235042
2025-09-12 14:00:00,Crystal Palace,Sunderland,OU 2.5,Under,0.5853929361168622,1.9,0.08539293611686216,0.11224657862203813
2025-09-12 14:00:00,Fulham,Leeds,1X2,H,0.5546059748060038,2.0,0.2212726414726705,0.10921194961200764
2025-09-12 14:00:00,Fulham,Leeds,OU 1.5,Under,0.5827167470431229,1.9,0.08271674704312293,0.10716181938193348
2025-09-12 19:45:00,West Ham,Tottenham,OU 2.5,Under,0.5809927826879301,1.9,0.08099278268793009,0.10388628710706715
2025-09-12 14:00:00,Everton,Aston Villa,OU 2.5,Under,0.5566331651359618,1.9,0.05663316513596184,0.05760301375832744
2025-09-12 22:00:00,Brentford,Chelsea,OU 2.5,Over,0.5533298126650839,1.9,0.05332981266508385,0.05132664406365928
