date,home,away,market,outcome,prob,fair_odds,odds,edge,EV
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,2-5,0.6355910805929476,1.573338630030951,3.0,0.30225774725961424,0.9067732417788426
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,2-5,0.6355910805929476,1.573338630030951,3.0,0.30225774725961424,0.9067732417788426
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,2-5,0.6355910805929476,1.573338630030951,3.0,0.30225774725961424,0.9067732417788426
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,0-3,0.5855700026163864,1.7077377521592605,3.0,0.25223666928305305,0.7567100078491591
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,0-3,0.5855700026163864,1.7077377521592605,3.0,0.25223666928305305,0.7567100078491591
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,0-3,0.5855700026163864,1.7077377521592605,3.0,0.25223666928305305,0.7567100078491591
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,2-4,0.5282851084111921,1.8929172601655986,3.0,0.19495177507785882,0.5848553252335764
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,2-4,0.5282851084111921,1.8929172601655986,3.0,0.19495177507785882,0.5848553252335764
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,2-4,0.5282851084111921,1.8929172601655986,3.0,0.19495177507785882,0.5848553252335764
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,1-3,0.5228097036282751,1.9127418505434128,3.0,0.18947637029494174,0.5684291108848252
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,1-3,0.5228097036282751,1.9127418505434128,3.0,0.18947637029494174,0.5684291108848252
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,1-3,0.5228097036282751,1.9127418505434128,3.0,0.18947637029494174,0.5684291108848252
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,3-6,0.5139155893891448,1.9458448442644625,3.0,0.18058225605581152,0.5417467681674344
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,3-6,0.5139155893891448,1.9458448442644625,3.0,0.18058225605581152,0.5417467681674344
2025-12-14 16:30:00,Bayern Munich,Mainz 05,TG Interval,3-6,0.5139155893891448,1.9458448442644625,3.0,0.18058225605581152,0.5417467681674344
2025-12-14 16:30:00,Bayern Munich,Mainz 05,OU 1.5,Over,0.7917089572145376,1.2630904209020077,1.9,0.625042290547871,0.5042470187076213
2025-12-14 16:30:00,Bayern Munich,Mainz 05,OU 1.5,Over,0.7917089572145376,1.2630904209020077,1.9,0.625042290547871,0.5042470187076213
2025-12-14 16:30:00,Bayern Munich,Mainz 05,OU 1.5,Over,0.7917089572145376,1.2630904209020077,1.9,0.625042290547871,0.5042470187076213
2025-12-14 16:30:00,Bayern Munich,Mainz 05,OU 3.5,Under,0.5855700026163864,1.7077377521592605,1.9,0.4189033359497197,0.11258300497113405
2025-12-14 16:30:00,Bayern Munich,Mainz 05,OU 3.5,Under,0.5855700026163864,1.7077377521592605,1.9,0.4189033359497197,0.11258300497113405
2025-12-14 16:30:00,Bayern Munich,Mainz 05,OU 3.5,Under,0.5855700026163864,1.7077377521592605,1.9,0.4189033359497197,0.11258300497113405
2025-12-14 16:30:00,Bayern Munich,Mainz 05,OU 2.5,Over,0.5806774707995104,1.7221263959546116,1.9,0.4140108041328437,0.10328719451906965
2025-12-14 16:30:00,Bayern Munich,Mainz 05,OU 2.5,Over,0.5806774707995104,1.7221263959546116,1.9,0.4140108041328437,0.10328719451906965
2025-12-14 16:30:00,Bayern Munich,Mainz 05,OU 2.5,Over,0.5806774707995104,1.7221263959546116,1.9,0.4140108041328437,0.10328719451906965
2025-12-14 16:30:00,Bayern Munich,Mainz 05,1X2,H,0.5479814172169444,1.8248794002518203,2.0,0.21464808388361106,0.09596283443388876
