fixture_datetime,date,league,country,season,home,away,model_variant,mu_engine_mode,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_anchor_home,mu_anchor_away,mu_elo_home,mu_elo_away,mu_xg_home,mu_xg_away,mu_pressure_home,mu_pressure_away,mu_weight_anchor,mu_weight_elo,mu_weight_xg,mu_weight_pressure,poisson_v2_enabled,poisson_v2_disp_alpha,poisson_v2_dep_strength,poisson_v2_dc_rho,mu_total,elo_hfa_used,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,quality_status,quality_critical,quality_issue_count,quality_flags,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-08-25T22:00:00,2025-08-25,Serie A Brazil,Brazil,2025-2026,Palmeiras,Sport Recife,full,strict_module_weights_v1,2025-08-24T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,2.5439349290365167,1.7281632774302778,1.4964323111979512,1.0165666337825163,1.7,1.6447876447876448,1.1042471042471045,1.247024306589589,0.5309887402665927,1.2553557172863117,0.8645262980842803,1.5999035732094251,1.2225493741437805,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,4.2720982064667945,56.0,0.7718204814163775,0.2281795185836225,0.7718204814163775,0.2281795185836225,OU25_OVER,,,,,,,0.7349735728243871,0.2650264271756128,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,6.534020505630439,7.0585341596452,9.0,9.0,9.0,9.0,0,0,0,0,0,0,2025-08-25,2025-08-25,2025-08-25,3,0,
2025-08-26T00:00:00,2025-08-26,Serie A Brazil,Brazil,2025-2026,Flamengo,Vitoria,full,strict_module_weights_v1,2025-08-25T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,2.8014216426774,1.5990603315055096,1.6478950839278823,0.9406237244150056,1.7,1.6447876447876448,1.1042471042471045,1.7030900677691367,0.3437694760876967,1.5065418237731478,0.8279045010072104,1.7721422531704951,1.0302872394223663,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,4.4004819741829095,56.0,0.787117534471616,0.2128824655283839,0.787117534471616,0.2128824655283839,OU25_OVER,,,,,,,0.7273367739125679,0.2726632260874321,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,9.055567376112991,5.214983764681887,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-08-26,2025-08-26,2025-08-26,8,0,
2025-08-30T19:00:00,2025-08-30,Serie A Brazil,Brazil,2025-2026,Ceara,Juventude,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,2.837214932225694,1.6145972231730656,1.668949960132761,0.9497630724547446,1.7,1.6447876447876448,1.1042471042471045,2.1646595819378445,0.4447993125503857,1.5702009631225158,0.8079133169215647,1.6080748129731584,1.0464238810818918,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,4.451812155398759,56.0,0.7930380666805897,0.2069619333194102,0.7930380666805897,0.2069619333194102,OU25_OVER,,,,,,,0.7318190311379096,0.2681809688620904,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,6.942816399268436,8.259699404000239,10.0,9.0,10.0,9.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,0,1,
2025-08-30T21:30:00,2025-08-30,Serie A Brazil,Brazil,2025-2026,Botafogo,RB Bragantino,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,2.6565277683920816,1.752015266488815,1.5626633931718128,1.0305972155816558,1.7,1.6447876447876448,1.1042471042471045,1.478472810715477,0.959500038836244,1.4175435137141208,0.8449644293820563,1.6100607030267071,1.1268290506147025,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,4.408543034880896,56.0,0.7882073193922196,0.2117926806077804,0.7882073193922196,0.2117926806077804,OU25_OVER,,,,,,,0.7454034299763088,0.2545965700236912,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,7.460867892039302,8.644532440952196,9.0,10.0,9.0,10.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,4,1,
2025-08-31T00:00:00,2025-08-31,Serie A Brazil,Brazil,2025-2026,Cruzeiro,Sao Paulo,full,strict_module_weights_v1,2025-08-30T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,8,8,8,8,8,8,8,8,8,2.713798031216381,1.738735385189368,1.5963517830684597,1.0227855206996284,1.7,1.6447876447876448,1.1042471042471045,1.7203195130602116,0.8121494927699239,1.4171012795004514,0.846769640911413,1.648517815889069,1.1527172779837638,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,4.45253341640575,56.0,0.7932246130109855,0.2067753869890145,0.7932246130109855,0.2067753869890145,OU25_OVER,,,,,,,0.7465043693049764,0.2534956306950235,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,10.456276597547856,6.312697439339749,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-08-31,2025-08-31,2025-08-31,1,0,
2025-08-31T19:00:00,2025-08-31,Serie A Brazil,Brazil,2025-2026,Flamengo,Gremio,full,strict_module_weights_v1,2025-08-30T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,8,8,8,8,8,8,8,8,8,2.9897733797272,1.6575333576559308,1.7586902233689412,0.9750196221505476,1.7,1.6447876447876448,1.1042471042471045,2.4684531467656754,0.5420667085395446,1.629115960549048,0.8919918493117982,1.786603442560215,1.0244645890792068,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,4.647306737383131,56.0,0.81425549295407,0.18574450704593,0.81425549295407,0.18574450704593,OU25_OVER,,,,,,,0.7460252148987093,0.2539747851012907,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.547179620399715,3.840432488261495,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-08-31,2025-08-31,2025-08-31,1,1,
2025-08-31T19:00:00,2025-08-31,Serie A Brazil,Brazil,2025-2026,Santos,Fluminense,full,strict_module_weights_v1,2025-08-30T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,8,8,8,8,8,8,8,8,8,2.503658045149571,1.9864946887355093,1.472740026558571,1.168526287491476,1.7,1.6447876447876448,1.1042471042471045,1.459534271575491,1.47409601276184,1.237982600257852,1.0299622308769243,1.4375035656860036,1.2877091471888764,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,4.49015273388508,56.0,0.7976801105605353,0.2023198894394646,0.7976801105605353,0.2023198894394646,OU25_OVER,,,,,,,0.7679652801108184,0.2320347198891815,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,7.75179561108986,8.498807220728624,9.0,10.0,9.0,10.0,0,0,0,0,0,0,2025-08-31,2025-08-31,2025-08-31,0,0,
2025-08-31T21:30:00,2025-08-31,Serie A Brazil,Brazil,2025-2026,Corinthians,Palmeiras,full,strict_module_weights_v1,2025-08-30T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,8,8,8,8,8,8,8,8,8,2.463493240967714,1.9047755599054776,1.4491136711574788,1.1204562117091046,1.7,1.6447876447876448,1.1042471042471045,1.1239931086892865,1.4426054164229587,1.1623332052694728,0.8889680127069175,1.552864004224496,1.24901930076495,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,4.368268800873191,56.0,0.7836096945325635,0.2163903054674365,0.7836096945325635,0.2163903054674365,OU25_OVER,,,,,,,0.754881876871684,0.245118123128316,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,6.6510018604893295,7.625829585308282,10.0,9.0,10.0,9.0,0,0,0,0,0,0,2025-08-31,2025-08-31,2025-08-31,1,1,
2025-08-31T21:30:00,2025-08-31,Serie A Brazil,Brazil,2025-2026,Vitoria,Atletico-MG,full,strict_module_weights_v1,2025-08-30T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,8,8,8,8,8,8,8,8,8,2.5226852304664056,1.8482365431816536,1.4839324885096503,1.0871979665774434,1.7,1.6447876447876448,1.1042471042471045,1.3051650124483212,0.982585937010741,1.3336615455120313,0.9341069947997136,1.44834217188701,1.2548551299103965,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,4.3709217736480594,56.0,0.783903625204561,0.2160963747954389,0.783903625204561,0.2160963747954389,OU25_OVER,,,,,,,0.7512945206478399,0.2487054793521601,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,8.367730090287356,8.786303868336478,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2025-08-31,2025-08-31,2025-08-31,1,0,
2025-08-31T21:30:00,2025-08-31,Serie A Brazil,Brazil,2025-2026,Mirassol,Bahia,full,strict_module_weights_v1,2025-08-30T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,8,8,8,8,8,8,8,8,8,2.5180679057289144,1.858069437425432,1.4812164151346556,1.09298202201496,1.7,1.6447876447876448,1.1042471042471045,1.3434738978556724,1.139395949237613,1.232345318653976,0.9069896235704318,1.5234705510821456,1.242384717998996,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,4.376137343154346,56.0,0.7845263302990635,0.2154736697009365,0.7845263302990635,0.2154736697009365,OU25_OVER,,,,,,,0.7523476920061972,0.2476523079938027,BTTS_YES,,,,,WARN,0,2,odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,6.422059310019008,5.914198854339315,9.0,9.0,9.0,9.0,0,0,0,0,0,0,2025-08-31,2025-08-31,2025-08-31,5,1,
