fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_total,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-02-27T19:00:00,2026-02-27,Eredivisie,Netherlands,2025-2026,Telstar,NAC Breda,full,2026-02-26T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,0.992845058441162,1.1283142566680908,0.992845058441162,1.1283142566680908,1.0,2.121159315109253,0.3560788980297617,0.6439211019702382,0.3560788980297617,0.6439211019702382,OU25_OVER,,,,,,,0.4257932518038519,0.5742067481961481,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,8.510027007881666,8.480619711544945,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-27,2026-02-27,2026-02-27,3,0,
2026-02-28T15:30:00,2026-02-28,Eredivisie,Netherlands,2025-2026,Heerenveen,Sparta Rotterdam,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.320366382598877,1.2724745273590088,1.320366382598877,1.2724745273590088,1.0,2.5928409099578857,0.4797714208872542,0.5202285791127458,0.4797714208872542,0.5202285791127458,OU25_OVER,,,,,,,0.5276322158431939,0.4723677841568061,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.065377051714243,11.103440179146627,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,2,1,
2026-02-28T17:45:00,2026-02-28,Eredivisie,Netherlands,2025-2026,Heracles,PSV Eindhoven,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,0.454182893037796,2.054948568344116,0.454182893037796,2.054948568344116,1.0,2.509131461381912,0.4585164464812268,0.5414835535187732,0.4585164464812268,0.5414835535187732,OU25_OVER,,,,,,,0.3182728390764471,0.6817271609235529,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,2.666031431014108,7.646716826358842,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,1,3,
2026-02-28T20:00:00,2026-02-28,Eredivisie,Netherlands,2025-2026,NEC Nijmegen,Fortuna Sittard,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.4428668022155762,0.7508651614189148,1.4428668022155762,0.7508651614189148,1.0,2.193731963634491,0.3756046618755339,0.6243953381244661,0.3756046618755339,0.6243953381244661,OU25_OVER,,,,,,,0.4032922952879711,0.5967077047120288,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.274147056796378,8.037365415021792,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,2,3,
2026-03-01T11:15:00,2026-03-01,Eredivisie,Netherlands,2025-2026,PEC Zwolle,Ajax,full,2026-02-28T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,0.7520921230316162,1.8107441663742063,0.7520921230316162,1.8107441663742063,1.0,2.5628362894058228,0.472197890447999,0.5278021095520009,0.472197890447999,0.5278021095520009,OU25_OVER,,,,,,,0.442174059427995,0.557825940572005,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,8.291370022028326,9.725430360741498,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-01,2026-03-01,2026-03-01,0,0,
2026-03-01T13:30:00,2026-03-01,Eredivisie,Netherlands,2025-2026,Twente,Feyenoord,full,2026-02-28T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.7512366771697998,1.0825135707855225,1.7512366771697998,1.0825135707855225,1.0,2.8337502479553223,0.5385500611125195,0.4614499388874805,0.5385500611125195,0.4614499388874805,OU25_OVER,,,,,,,0.5464897811536362,0.4535102188463638,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,8.937062052825743,9.049202547704663,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-01,2026-03-01,2026-03-01,2,0,
2026-03-01T13:30:00,2026-03-01,Eredivisie,Netherlands,2025-2026,FC Volendam,Groningen,full,2026-02-28T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.1778578758239746,1.287584900856018,1.1778578758239746,1.287584900856018,1.0,2.4654427766799927,0.4472921076547325,0.5527078923452675,0.4472921076547325,0.5527078923452675,OU25_OVER,,,,,,,0.501097144691123,0.498902855308877,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.640071829818282,10.998249824735142,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-01,2026-03-01,2026-03-01,3,2,
2026-03-01T15:45:00,2026-03-01,Eredivisie,Netherlands,2025-2026,Utrecht,AZ Alkmaar,full,2026-02-28T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.4775230884552002,1.2509912252426147,1.4775230884552002,1.2509912252426147,1.0,2.728514313697815,0.5133339091134969,0.4866660908865031,0.5133339091134969,0.4866660908865031,OU25_OVER,,,,,,,0.5508930846427991,0.4491069153572009,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.9973235273031,11.495848543117091,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-01,2026-03-01,2026-03-01,2,0,
2026-03-01T19:00:00,2026-03-01,Eredivisie,Netherlands,2025-2026,Excelsior,GO Ahead Eagles,full,2026-02-28T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.3031357526779177,1.252652287483215,1.3031357526779177,1.252652287483215,1.0,2.555788040161133,0.4704152836226113,0.5295847163773887,0.4704152836226113,0.5295847163773887,OU25_OVER,,,,,,,0.520206581745085,0.4797934182549149,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.817193846143685,10.163786612574553,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-01,2026-03-01,2026-03-01,0,1,
