league,kickoff_utc,home,away,market,pick,side,prob_dc,prob_hy
E0,2025-08-22T13:00:00Z,West Ham,Chelsea,1X2,Chelsea,AWAY,0.4334,
E0,2025-08-22T13:00:00Z,West Ham,Chelsea,OU2.5,Over 2.5,OVER25,0.5192,
