fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_filters,mu_home,mu_away,mu_total,p_over25,p_under25,p_over_2_5,p_under_2_5,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-01-10T18:30:00,2026-01-10,Eredivisie,Netherlands,2025-2026,Alkmaar,Volendam,full,2026-01-09T23:59:59.999999,,,2025-08-01,2026-07-01,14,4,4,4,4,4,4,4,4,2.850789785385132,0.8771032691001892,3.727893054485321,0.6526946107784432,0.3473053892215568,0.6526946107784432,0.3473053892215568,1.33,3.37,1.33,3.37,-0.1319161676646705,0.1704191616766466,0.5864661654135338,0.4135338345864662,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,64.5010762472885,9.282856613026093,7.0,8.0,7.0,8.0,0,0,0,0,0,0,2026-01-10,2026-01-10,2026-01-10,1,0,1-0 (1-0)
2026-01-10T20:45:00,2026-01-10,Eredivisie,Netherlands,2025-2026,Enschede,Zwolle,full,2026-01-09T23:59:59.999999,,,2025-08-01,2026-07-01,14,4,4,4,4,4,4,4,4,2.887463092803955,0.8425804972648621,3.730043590068817,0.6526946107784432,0.3473053892215568,0.6526946107784432,0.3473053892215568,1.48,2.74,1.48,2.74,-0.0340119760479041,-0.0483832335329341,0.5864661654135338,0.4135338345864662,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,79.00600421257316,39.32105733228597,8.0,9.0,8.0,9.0,0,0,0,0,0,0,2026-01-10,2026-01-10,2026-01-10,1,1,1-1 (0-0)
2026-01-10T22:00:00,2026-01-10,Eredivisie,Netherlands,2025-2026,Eindhoven,Excelsior,full,2026-01-09T23:59:59.999999,,,2025-08-01,2026-07-01,14,4,4,4,4,4,4,4,4,3.4985551834106445,0.8335575461387634,4.332112729549408,0.8461538461538461,0.1538461538461538,0.8461538461538461,0.1538461538461538,1.23,4.3,1.23,4.3,0.0407692307692306,-0.3384615384615385,0.5864661654135338,0.4135338345864662,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,85.43673574228613,3.5230924300235986,8.0,7.0,8.0,7.0,0,0,0,0,0,0,2026-01-10,2026-01-10,2026-01-10,5,1,5-1 (4-1)
2026-01-10T23:00:00,2026-01-10,Eredivisie,Netherlands,2025-2026,Groningen,Breda,full,2026-01-09T23:59:59.999999,,,2025-08-01,2026-07-01,14,4,4,4,4,4,4,4,4,2.1336865425109863,1.0215682983398438,3.15525484085083,0.6054054054054054,0.3945945945945945,0.6054054054054054,0.3945945945945945,1.94,1.94,1.94,1.94,0.1744864864864865,-0.2344864864864866,0.5864661654135338,0.4135338345864662,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,58.61270595148015,37.761391502897816,8.0,8.0,8.0,8.0,0,0,0,0,0,0,2026-01-10,2026-01-10,2026-01-10,0,0,0-0 (0-0)
