date,league,home_team,away_team,market,selection,odds,stake,model_prob,expected_value,result,actual_score,payout,net_profit,settled_at,notes
2099-01-01,E0,TeamA,TeamB,1X2,H,2.0,10.0,0.5500,0.1000,,,0.0,0.0,,
2099-01-02,E0,TeamA,TeamB,1X2,H,2.0,10.0,0.5500,0.2000,,,0.0,0.0,,
