match_id,date,h_team,a_team,team,h_a,minute,player,shot_id,result,situation,shotType,xG,X,Y,fast_break,isKeyPass,dist_m,angle_deg,is_header
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,4,Romain Perraud,584559,BlockedShot,OpenPlay,RightFoot,0.022751454263925552,0.774000015258789,0.710999984741211,,,27.730450738961636,12.946978261629447,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,41,Romain Perraud,584570,MissedShots,OpenPlay,LeftFoot,0.0417187474668026,0.845999984741211,0.705,,,21.349298625816083,14.978791791054235,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,43,Juanmi,584571,MissedShots,FromCorner,Head,0.06521010398864746,0.9290000152587891,0.48700000762939455,,,7.507226931055787,51.78700963727969,1
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,45,William Carvalho,584572,BlockedShot,OpenPlay,RightFoot,0.040681175887584686,0.8209999847412109,0.3129999923706055,,,22.692482332697143,15.339316635426371,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,5,Marc Bartra,584560,Goal,FromCorner,Head,0.37034574151039124,0.9430000305175781,0.56,,,7.243382265488429,48.27264012089662,1
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,50,Bryan Gil Salvatierra,584573,SavedShot,OpenPlay,LeftFoot,0.045819807797670364,0.874000015258789,0.6869999694824219,,,18.350189667416146,16.673786995550685,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,51,Youssouf Sabaly,584574,MissedShots,OpenPlay,RightFoot,0.05508587881922722,0.9740000152587891,0.29200000762939454,,,14.405055104939994,5.877881896632711,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,52,Nabil Fekir,584575,MissedShots,OpenPlay,LeftFoot,0.029013115912675858,0.8009999847412109,0.7140000152587891,,,25.462950067756278,13.54346172366527,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,56,Pablo Fornals,584576,MissedShots,OpenPlay,RightFoot,0.007363170851022005,0.4179999923706055,0.25,,,63.43053048736691,6.365109724147545,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,57,Bryan Gil Salvatierra,584577,MissedShots,OpenPlay,LeftFoot,0.022041430696845055,0.76,0.3559999847412109,,,27.035592916011915,14.41754351739752,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,59,Abel Ruiz,584578,ShotOnPost,OpenPlay,RightFoot,0.3687145411968231,0.914000015258789,0.43599998474121093,,,10.02401037988349,37.199305303571364,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,62,Rodrigo Sánchez,584579,SavedShot,OpenPlay,LeftFoot,0.11821679770946503,0.8619999694824219,0.37,,,16.97367941437415,21.111795792927982,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,63,William Carvalho,584580,SavedShot,FromCorner,OtherBodyPart,0.0816650390625,0.945,0.555,,,6.880277974035648,51.23767326804917,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,66,Jhon Solis,584581,BlockedShot,OpenPlay,RightFoot,0.014826934784650803,0.715,0.6709999847412109,,,32.104765765687034,12.151488353199081,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,71,Gabriel Misehouy,584582,Goal,OpenPlay,RightFoot,0.5032640695571899,0.93,0.44400001525878907,,,8.277883551829975,44.30270220436414,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,73,Ezequiel Ávila,584583,ShotOnPost,OpenPlay,RightFoot,0.08947250247001648,0.9019999694824219,0.5479999923706055,,,10.795270193873163,36.139942785494355,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,84,Johnny Cardoso,584584,MissedShots,OpenPlay,RightFoot,0.022930573672056198,0.75,0.5159999847412109,,,26.27253778648322,15.848625707162107,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,85,Johnny Cardoso,584586,MissedShots,OpenPlay,RightFoot,0.05808231979608536,0.8109999847412109,0.4929999923706055,,,19.85070943528568,20.88783173669991,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,85,Cristhian Stuani,584585,BlockedShot,OpenPlay,RightFoot,0.1359972506761551,0.9259999847412109,0.47900001525878905,,,7.900133285862389,49.24499707444638,0
