date,home,away
2025-09-12 14:00,Arsenal,Nott'm Forest
2025-09-12 14:00,Bournemouth,Brighton
2025-09-12 14:00,Crystal Palace,Sunderland
2025-09-12 14:00,Everton,Aston Villa
2025-09-12 14:00,Fulham,Leeds
2025-09-12 14:00,Newcastle,Wolves
2025-09-12 19:45,West Ham,Tottenham
2025-09-12 22:00,Brentford,Chelsea
2025-09-14 16:00,Burnley,Liverpool
2025-09-14 18:30,Man City,Man United
