date,home,away
2026-03-07 12:30:00,FC Heidenheim,Hoffenheim
2026-03-07 12:30:00,Mainz 05,Stuttgart
2026-03-07 12:30:00,RasenBallsport Leipzig,Augsburg
2026-03-07 12:30:00,St. Pauli,Ein Frankfurt
2026-03-07 12:30:00,Union Berlin,Werder Bremen
2026-03-07 12:30:00,Wolfsburg,Hamburger SV
2026-03-14 12:30:00,Leverkusen,Bayern Munich
2026-03-14 12:30:00,Borussia M.Gladbach,St. Pauli
2026-03-14 12:30:00,Dortmund,Augsburg
2026-03-14 12:30:00,Ein Frankfurt,FC Heidenheim
2026-03-14 12:30:00,Freiburg,Union Berlin
2026-03-14 12:30:00,Hamburger SV,FC Cologne
2026-03-14 12:30:00,Hoffenheim,Wolfsburg
2026-03-14 12:30:00,Stuttgart,RasenBallsport Leipzig
2026-03-14 12:30:00,Werder Bremen,Mainz 05
2026-03-21 12:30:00,Augsburg,Stuttgart
2026-03-21 12:30:00,Bayern Munich,Union Berlin
2026-03-21 12:30:00,Dortmund,Hamburger SV
2026-03-21 12:30:00,FC Cologne,Borussia M.Gladbach
2026-03-21 12:30:00,FC Heidenheim,Leverkusen
2026-03-21 12:30:00,Mainz 05,Ein Frankfurt
2026-03-21 12:30:00,RasenBallsport Leipzig,Hoffenheim
2026-03-21 12:30:00,St. Pauli,Freiburg
2026-03-21 12:30:00,Wolfsburg,Werder Bremen
2026-04-04 12:30:00,Leverkusen,Wolfsburg
2026-04-04 12:30:00,Borussia M.Gladbach,FC Heidenheim
2026-04-04 12:30:00,Ein Frankfurt,FC Cologne
2026-04-04 12:30:00,Freiburg,Bayern Munich
2026-04-04 12:30:00,Hamburger SV,Augsburg
2026-04-04 12:30:00,Hoffenheim,Mainz 05
2026-04-04 12:30:00,Stuttgart,Dortmund
2026-04-04 12:30:00,Union Berlin,St. Pauli
2026-04-04 12:30:00,Werder Bremen,RasenBallsport Leipzig
2026-04-11 12:30:00,Augsburg,Hoffenheim
2026-04-11 12:30:00,Dortmund,Leverkusen
2026-04-11 12:30:00,FC Cologne,Werder Bremen
2026-04-11 12:30:00,FC Heidenheim,Union Berlin
2026-04-11 12:30:00,Mainz 05,Freiburg
2026-04-11 12:30:00,RasenBallsport Leipzig,Borussia M.Gladbach
2026-04-11 12:30:00,St. Pauli,Bayern Munich
2026-04-11 12:30:00,Stuttgart,Hamburger SV
2026-04-11 12:30:00,Wolfsburg,Ein Frankfurt
2026-04-18 12:30:00,Leverkusen,Augsburg
2026-04-18 12:30:00,Bayern Munich,Stuttgart
2026-04-18 12:30:00,Borussia M.Gladbach,Mainz 05
2026-04-18 12:30:00,Ein Frankfurt,RasenBallsport Leipzig
2026-04-18 12:30:00,Freiburg,FC Heidenheim
2026-04-18 12:30:00,Hoffenheim,Dortmund
2026-04-18 12:30:00,St. Pauli,FC Cologne
2026-04-18 12:30:00,Union Berlin,Wolfsburg
2026-04-18 12:30:00,Werder Bremen,Hamburger SV
2026-04-25 12:30:00,Augsburg,Ein Frankfurt
2026-04-25 12:30:00,Dortmund,Freiburg
