date,home,away
2025-09-19 18:45:00,US Lecce,Cagliari Calcio
2025-09-20 13:00:00,Bologna FC 1909,Genoa CFC
2025-09-20 16:00:00,Hellas Verona FC,Juventus FC
2025-09-20 18:45:00,Udinese Calcio,AC Milan
2025-09-21 10:30:00,SS Lazio,AS Roma
2025-09-21 13:00:00,Torino FC,Atalanta BC
2025-09-21 13:00:00,US Cremonese,Parma Calcio 1913
2025-09-21 16:00:00,ACF Fiorentina,Como 1907
2025-09-21 18:45:00,FC Internazionale Milano,US Sassuolo Calcio
2025-09-22 18:45:00,SSC Napoli,AC Pisa 1909
