fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_filters,mu_home,mu_away,mu_total,p_home,p_draw,p_away,p_over25,p_under25,p_over_2_5,p_under_2_5,odds_home,odds_draw,odds_away,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_home,EV_draw,EV_away,EV_over25,EV_under25,p_btts_yes,p_btts_no,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,p_1h_over_0_5,p_1h_under_0_5,p_2h_over_0_5,p_2h_under_0_5,p_2h_over_1_5,p_2h_under_1_5,p_goal_after_75_yes,p_goal_after_75_no,odds_1h_over_0_5,odds_1h_under_0_5,odds_2h_over_0_5,odds_2h_under_0_5,odds_2h_over_1_5,odds_2h_under_1_5,odds_goal_after_75_yes,odds_goal_after_75_no,EV_1h_over_0_5,EV_1h_under_0_5,EV_2h_over_0_5,EV_2h_under_0_5,EV_2h_over_1_5,EV_2h_under_1_5,EV_goal_after_75_yes,EV_goal_after_75_no,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-09-13T15:30:00,9/13/2025,Premier L,England,2025-2026,Arsenal,Nottingham,full,2025-09-12T23:59:59.999999,England,Premier L,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,2.362260103225708,0.622040331363678,2.984300434589386,0.7629813264458887,0.1570826632660124,0.079898609875777,0.5732459721897014,0.4267540278102986,0.5732459721897014,0.4267540278102986,1.37,5.37,8.33,1.68,2.27,1.68,2.27,0.0452844172308675,-0.1564660982615131,-0.3344445797347773,-0.0369467667213017,-0.0312683568706222,0.4195198352472297,0.5804801647527703,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,0.7751114240176261,0.2248885759823738,0.7751114240176261,0.2248885759823738,0.4395438864984328,0.5604561135015672,0.3918802175216852,0.6081197824783148,,,,,,,,,,,,,,,,,70.18393076784447,8.719000022221302,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-13,2025-09-13,2025-09-13,3,0,3-0 (1-0)
2025-09-13T18:00:00,9/13/2025,Premier L,England,2025-2026,Bournemouth,Brighton,full,2025-09-12T23:59:59.999999,England,Premier L,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,1.440392017364502,1.3048393726348877,2.7452313899993896,0.4034691114450903,0.2550320104672566,0.3414983630868836,0.5173893286928697,0.4826106713071303,0.5173893286928697,0.4826106713071303,2.39,3.58,2.98,1.7,2.24,1.7,2.24,-0.0357088236462341,-0.0869854025272213,0.017665121998913,-0.1204381412221216,0.0810479037279721,0.5561824428867063,0.4438175571132937,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,0.7465568382259566,0.2534431617740433,0.7465568382259566,0.2534431617740433,0.398676776584558,0.601323223415442,0.3671605768958105,0.6328394231041895,,,,,,,,,,,,,,,,,50.80049548628013,76.23416766042185,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-13,2025-09-13,2025-09-13,2,1,2-1 (1-0)
2025-09-13T18:00:00,9/13/2025,Premier L,England,2025-2026,Everton,Aston Villa,full,2025-09-12T23:59:59.999999,England,Premier L,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,1.359926462173462,1.0408570766448977,2.40078353881836,0.4409436790715407,0.2721720070052508,0.2868840857679631,0.4304957252030363,0.5695042747969636,0.4304957252030363,0.5695042747969636,2.43,3.45,3.02,2.0,1.89,2.0,1.89,0.0714931401438438,-0.0610065758318845,-0.1336100609807514,-0.1390085495939272,0.0763630793662613,0.480815374179139,0.519184625820861,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,0.698923763655129,0.301076236344871,0.698923763655129,0.301076236344871,0.3375143275820529,0.6624856724179471,0.3297674852116909,0.670232514788309,,,,,,,,,,,,,,,,,53.6613584052801,67.82147985966581,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-13,2025-09-13,2025-09-13,0,0,0-0 (0-0)
2025-09-13T18:00:00,9/13/2025,Premier L,England,2025-2026,Fulham,Leeds,full,2025-09-12T23:59:59.999999,England,Premier L,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,1.2085909843444824,0.6436761617660522,1.852267146110535,0.497767544680068,0.3048157725690845,0.1974166158486662,0.2834119897831681,0.7165880102168318,0.2834119897831681,0.7165880102168318,1.97,3.55,4.09,2.07,1.83,2.07,1.83,-0.0193979369802659,0.08209599262025,-0.1925660411789552,-0.413337181148842,0.3113560586968023,0.3329057798699397,0.6670942201300603,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,0.6039178235844445,0.3960821764155555,0.6039178235844445,0.3960821764155555,0.2370928223171994,0.7629071776828006,0.2656071613510641,0.7343928386489359,,,,,,,,,,,,,,,,,40.70393265029477,35.55481252072506,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-13,2025-09-13,2025-09-13,1,0,1-0 (0-0)
2025-09-13T18:00:00,9/13/2025,Premier L,England,2025-2026,Newcastle,Wolves,full,2025-09-12T23:59:59.999999,England,Premier L,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,2.6379098892211914,0.5460858345031738,3.183995723724365,0.8186849387874229,0.126341334496346,0.0548754503579041,0.6166478352325823,0.3833521647674177,0.6166478352325823,0.3833521647674177,1.4,5.07,7.77,1.76,2.13,1.76,2.13,0.146158914302392,-0.3594494341035255,-0.5736177507190852,0.0853001900093448,-0.1834598890454002,0.3906967305393976,0.6093032694606024,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,0.7964813967594395,0.2035186032405604,0.7964813967594395,0.2035186032405604,0.4724802155512893,0.5275197844487107,0.4117868836359678,0.5882131163640322,,,,,,,,,,,,,,,,,83.28734511103494,51.42329691507786,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-13,2025-09-13,2025-09-13,1,0,1-0 (1-0)
2025-09-13T20:30:00,9/13/2025,Premier L,England,2025-2026,West Ham,Tottenham,full,2025-09-12T23:59:59.999999,England,Premier L,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,2.00806188583374,0.7865872383117676,2.794649124145508,0.6594023316535067,0.2032303924392558,0.1373586539207419,0.5292612031708468,0.4707387968291532,0.5292612031708468,0.4707387968291532,3.58,3.63,2.09,1.81,2.08,1.81,2.08,1.3606603473195542,-0.2622736754455013,-0.7129204133056493,-0.0420372222607672,-0.0208633025953612,0.4714914046256109,0.5285085953743891,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,0.7527423978341086,0.2472576021658914,0.7527423978341086,0.2472576021658914,0.4072432771684952,0.5927567228315048,0.3723514193073143,0.6276485806926857,,,,,,,,,,,,,,,,,79.72171062685784,83.79680026931368,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-13,2025-09-13,2025-09-13,0,3,0-3 (0-0)
2025-09-13T23:00:00,9/13/2025,Premier L,England,2025-2026,Brentford,Chelsea,full,2025-09-12T23:59:59.999999,England,Premier L,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,1.4620109796524048,1.1474894285202026,2.6095004081726074,0.4435128921732467,0.2594962995409622,0.29699033769185,0.4839523573987728,0.5160476426012272,0.4839523573987728,0.5160476426012272,4.49,3.85,1.81,1.74,2.17,1.74,2.17,0.991372885857878,-0.0009392467672955,-0.4624474887777514,-0.1579228981261352,0.1198233844446627,0.5243688612868824,0.4756311387131176,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,0.7287597187022229,0.2712402812977771,0.7287597187022229,0.2712402812977771,0.3748589063225218,0.6251410936774782,0.3526814359884855,0.6473185640115144,,,,,,,,,,,,,,,,,25.11057344417729,72.87320804874152,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-13,2025-09-13,2025-09-13,2,2,2-2 (1-0)
2025-09-14T17:00:00,9/14/2025,Premier L,England,2025-2026,Burnley,Liverpool,full,2025-09-13T23:59:59.999999,England,Premier L,2025-08-01,2026-07-01,14,2,2,2,2,2,2,2,1.0902091264724731,1.3183553218841553,2.4085644483566284,0.307977371729094,0.2737955732601894,0.4182268737869605,0.4325270801840491,0.5674729198159509,0.4325270801840491,0.5674729198159509,9.5,5.7,1.33,1.53,2.61,1.53,2.61,1.9257850314263936,0.5606347675830798,-0.4437582578633424,-0.3382335673184048,0.4811043207196319,0.4862231173223178,0.5137768826776822,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,0.7000928115960978,0.2999071884039022,0.7000928115960978,0.2999071884039022,0.3389199156979817,0.6610800843020183,0.3306360916388199,0.6693639083611801,,,,,,,,,,,,,,,,,7.793206295925784,53.904443151769165,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-14,2025-09-14,2025-09-14,0,1,0-1 (0-0)
2025-09-14T19:30:00,9/14/2025,Premier L,England,2025-2026,Man City,Man Utd,full,2025-09-13T23:59:59.999999,England,Premier L,2025-08-01,2026-07-01,14,2,2,2,2,2,2,2,2.322169780731201,0.7225044965744019,3.044674277305603,0.733110917668199,0.1679472383781481,0.0989097227309566,0.5867118224183956,0.4132881775816044,0.5867118224183956,0.4132881775816044,1.77,4.05,4.53,1.59,2.49,1.59,2.49,0.2976063242727123,-0.3198136845685001,-0.5519389560287662,-0.0671282023547509,0.0290875621781949,0.4640165211672525,0.5359834788327476,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,0.7817986761917786,0.2182013238082214,0.7817986761917786,0.2182013238082214,0.4496226972553173,0.5503773027446827,0.3979686224672888,0.6020313775327112,,,,,,,,,,,,,,,,,98.85666932010248,20.784188669231774,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-14,2025-09-14,2025-09-14,3,0,3-0 (1-0)
2025-09-20T15:30:00,9/20/2025,Premier L,England,2025-2026,Liverpool,Everton,full,2025-09-19T23:59:59.999999,England,Premier L,2025-08-01,2026-07-01,14,7,7,7,7,7,7,7,2.373126983642578,0.7042683959007263,3.0773953795433044,0.7457325494910281,0.1619137482647413,0.0923147480313983,0.5938852818019303,0.4061147181980696,0.5938852818019303,0.4061147181980696,1.54,4.4,6.5,1.73,2.2,1.73,2.2,0.1484281262161833,-0.2875795076351382,-0.3999541377959109,0.0274215375173394,-0.1065476199642466,0.458420050589541,0.541579949410459,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,0.7853395259964722,0.2146604740035278,0.7853395259964722,0.2146604740035278,0.4550419505619562,0.5449580494380438,0.4012428746331425,0.5987571253668574,,,,,,,,,,,,,,,,,78.01671069115693,12.915491268179284,2.0,2.0,2.0,2.0,0,0,0,0,0,0,2025-09-20,2025-09-20,2025-09-20,2,1,2-1 (2-0)
