date,league,season,home,away,score,bot_prediction_available,bot_ou_pred,bot_btts_pred,bot_ou_result,bot_btts_result
2026-01-17,Championship,2025-2026,Watford,Millwall,0-0,no,,,,
2026-01-17,Championship,2025-2026,Wrexham,Norwich,0-0,no,,,,
2026-01-17,Eredivisie,2025-2026,Amsterdam,GA Eagles,0-0,no,,,,
2026-01-17,Eredivisie,2025-2026,Breda,Nijmegen,0-0,no,,,,
2026-01-17,Eredivisie,2025-2026,Excelsior,Telstar,0-0,no,,,,
2026-01-17,Eredivisie,2025-2026,Sittard,Eindhoven,0-0,no,,,,
2026-01-17,Eredivisie,2025-2026,Zwolle,Alkmaar,0-0,no,,,,
2026-01-17,Liga 1,2025-2026,Constanta,Hermannstadt,0-0,no,,,,
2026-01-17,Liga 1,2025-2026,Rapid B.,Metaloglobus Bucharest,0-0,no,,,,
2026-01-17,Liga 1,2025-2026,Unirea Slobozia,Uta Arad,0-0,no,,,,
2026-01-17,Ligue 1,2025-2026,Angers,Ol. Marseille,0-0,no,,,,
2026-01-17,Ligue 1,2025-2026,Lens,Auxerre,0-0,no,,,,
2026-01-17,Ligue 1,2025-2026,Toulouse,Nice,0-0,no,,,,
2026-01-17,Ligue 2,2025-2026,Grenoble,Red Star,0-0,no,,,,
2026-01-17,Ligue 2,2025-2026,Saint-Etienne,Clermont,0-0,no,,,,
2026-01-17,Ligue 2,2025-2026,Troyes,Reims,0-0,no,,,,
2026-01-17,Premier L,2025-2026,Chelsea,Brentford,0-0,no,,,,
2026-01-17,Premier L,2025-2026,Leeds,Fulham,0-0,no,,,,
2026-01-17,Premier L,2025-2026,Liverpool,Burnley,0-0,no,,,,
2026-01-17,Premier L,2025-2026,Man Utd,Man City,0-0,no,,,,
2026-01-17,Premier L,2025-2026,Nottingham,Arsenal,0-0,no,,,,
2026-01-17,Premier L,2025-2026,Sunderland,C Palace,0-0,no,,,,
2026-01-17,Premier L,2025-2026,Tottenham,West Ham,0-0,no,,,,
